type,authors,publication_year,data_collection_period,species,old_region,region,specific_location,n,sample_type,chemical,mean_concentration,concentration_units,mean_concentration_standardized,concentration_units_standardized,tissue,notes,doi_or_link,sex,fa_class
contaminant,Hall et al.,1978,1974,Pink,USA,BC/WC,US Coastline,29,Individual,Hg,0.025,mg/kg ww,0.025,mg/kg ww,Fillet,NA,https://books.google.com/books?hl=en&lr=&id=fPEGGfLt-xwC&oi=fnd&pg=PA1&dq=hall+et+al.+1978+mercury+fish&ots=zg7HSHCYjw&sig=sFhO5Q5s2Liwfzmu_mdSwxQd2wg#v=onepage&q=hall%20et%20al.%201978%20mercury%20fish&f=false,NA,NA
contaminant,Hall et al.,1978,1974,Sockeye,USA,BC/WC,US Coastline,60,Individual,Hg,0.04,mg/kg ww,0.04,mg/kg ww,Fillet,NA,https://books.google.com/books?hl=en&lr=&id=fPEGGfLt-xwC&oi=fnd&pg=PA1&dq=hall+et+al.+1978+mercury+fish&ots=zg7HSHCYjw&sig=sFhO5Q5s2Liwfzmu_mdSwxQd2wg#v=onepage&q=hall%20et%20al.%201978%20mercury%20fish&f=false,NA,NA
contaminant,Health Canada,2007,2002-2004,Chinook,Canada,BC/WC,Store-bought,29,Individual,Hg,0.05,mg/kg ww,0.05,mg/kg ww,Fillet,NA,https://www.canada.ca/content/dam/hc-sc/migration/hc-sc/fn-an/alt_formats/hpfb-dgpsa/pdf/nutrition/merc_fish_poisson-eng.pdf,NA,NA
contaminant,Health Canada,2007,2002-2004,Chum,Canada,BC/WC,Store-bought,18,Individual,Hg,0.02,mg/kg ww,0.02,mg/kg ww,Fillet,NA,https://www.canada.ca/content/dam/hc-sc/migration/hc-sc/fn-an/alt_formats/hpfb-dgpsa/pdf/nutrition/merc_fish_poisson-eng.pdf,NA,NA
contaminant,Health Canada,2007,2002-2004,Coho,Canada,BC/WC,Store-bought,3,Individual,Hg,0.02,mg/kg ww,0.02,mg/kg ww,Fillet,NA,https://www.canada.ca/content/dam/hc-sc/migration/hc-sc/fn-an/alt_formats/hpfb-dgpsa/pdf/nutrition/merc_fish_poisson-eng.pdf,NA,NA
contaminant,Health Canada,2007,2002-2004,Pink,Canada,BC/WC,Store-bought,1,Individual,Hg,0.02,mg/kg ww,0.02,mg/kg ww,Fillet,NA,https://www.canada.ca/content/dam/hc-sc/migration/hc-sc/fn-an/alt_formats/hpfb-dgpsa/pdf/nutrition/merc_fish_poisson-eng.pdf,NA,NA
contaminant,Health Canada,2007,2002-2004,Sockeye,Canada,BC/WC,Store-bought,15,Individual,Hg,0.03,mg/kg ww,0.03,mg/kg ww,Fillet,NA,https://www.canada.ca/content/dam/hc-sc/migration/hc-sc/fn-an/alt_formats/hpfb-dgpsa/pdf/nutrition/merc_fish_poisson-eng.pdf,NA,NA
contaminant,Hites et al.,2004b,2001-2002,Chinook,British Columbia,BC/WC,Store-bought,3,Composite,PBDEs,4.19,ng/g ww,0.00419,mg/kg ww,Fillet+Skin,"Sum of PBDE congeners 1, 2, 3, 7, 8, 10, 11, 12, 13, 15, 17, 25, 28, 30, 32, 33, 35, 37, 47, 49, 66, 71, 75, 77, 85, 99, 100, 105, 116, 119, 126, 138, 140, 153, 154, 155, 166, 181, 183, 190, 206, 207, and 208",10.1021/es049548m,NA,NA
contaminant,Hites et al.,2004b,2001-2002,Pink,British Columbia,BC/WC,Store-bought,3,Composite,PBDEs,0.44,ng/g ww,4.40E-04,mg/kg ww,Fillet+Skin,"Sum of PBDE congeners 1, 2, 3, 7, 8, 10, 11, 12, 13, 15, 17, 25, 28, 30, 32, 33, 35, 37, 47, 49, 66, 71, 75, 77, 85, 99, 100, 105, 116, 119, 126, 138, 140, 153, 154, 155, 166, 181, 183, 190, 206, 207, and 208",10.1021/es049548m,NA,NA
contaminant,Hites et al.,2004,NA,Chinook,Alaska,AK,Store-bought,3,Composite,DDTs,5.3,ng/g ww,0.0053,mg/kg ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1126/science.1091447,NA,NA
contaminant,Hites et al.,2004,NA,Chum,Alaska,AK,Store-bought,3,Composite,DDTs,1.22,ng/g ww,0.00122,mg/kg ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1126/science.1091447,NA,NA
contaminant,Hites et al.,2004,NA,Coho,Alaska,AK,Store-bought,3,Composite,DDTs,1.95,ng/g ww,0.00195,mg/kg ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1126/science.1091447,NA,NA
contaminant,Hites et al.,2004,NA,Pink,Alaska,AK,Store-bought,3,Composite,DDTs,1.42,ng/g ww,0.00142,mg/kg ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1126/science.1091447,NA,NA
contaminant,Hites et al.,2004,NA,Sockeye,Alaska (Kodiak),Central AK,Store-bought,3,Composite,DDTs,2.84,ng/g ww,0.00284,mg/kg ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1126/science.1091447,NA,NA
contaminant,Hites et al.,2004,NA,Chum,Alaska,SEAK,Store-bought,3,Composite,DDTs,1.49,ng/g ww,0.00149,mg/kg ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1126/science.1091447,NA,NA
contaminant,Hites et al.,2004,NA,Coho,Alaska,SEAK,Store-bought,3,Composite,DDTs,2.36,ng/g ww,0.00236,mg/kg ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1126/science.1091447,NA,NA
contaminant,Hites et al.,2004,NA,Pink,Alaska,SEAK,Store-bought,3,Composite,DDTs,1.35,ng/g ww,0.00135,mg/kg ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1126/science.1091447,NA,NA
contaminant,Hites et al.,2004,NA,Sockeye,Alaska,SEAK,Store-bought,3,Composite,DDTs,5.78,ng/g ww,0.00578,mg/kg ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1126/science.1091447,NA,NA
contaminant,Hites et al.,2004,NA,Chinook,British Columbia,BC/WC,Store-bought,3,Composite,DDTs,11.48,ng/g ww,0.01148,mg/kg ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1126/science.1091447,NA,NA
contaminant,Hites et al.,2004,NA,Chum,British Columbia,BC/WC,Store-bought,3,Composite,DDTs,1.8,ng/g ww,0.0018,mg/kg ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1126/science.1091447,NA,NA
contaminant,Hites et al.,2004,NA,Coho,British Columbia,BC/WC,Store-bought,3,Composite,DDTs,3.43,ng/g ww,0.00343,mg/kg ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1126/science.1091447,NA,NA
contaminant,Hites et al.,2004,NA,Pink,British Columbia,BC/WC,Store-bought,3,Composite,DDTs,2.94,ng/g ww,0.00294,mg/kg ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1126/science.1091447,NA,NA
contaminant,Hites et al.,2004,NA,Sockeye,British Columbia,BC/WC,Store-bought,3,Composite,DDTs,6.35,ng/g ww,0.00635,mg/kg ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1126/science.1091447,NA,NA
contaminant,Hites et al.,2004,NA,Chinook,Oregon,BC/WC,Store-bought,3,Composite,DDTs,12.7,ng/g ww,0.0127,mg/kg ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1126/science.1091447,NA,NA
contaminant,Hites et al.,2004,NA,Chinook,British Columbia,BC/WC,Store-bought,3,Composite,PCBs,15.1,ng/g ww,0.0151,mg/kg ww,Fillet+Skin,NA,10.1126/science.1091447,NA,NA
