year,species,location,mt_escape,y,time,y_10000,source
1957,Sockeye,SEAK,1613.9999999999998,1613.9999999999998,6,0.1614,"For details of collection, contact Dr. Greg Ruggerone"
1957,Sockeye,BCWC,8049.999999999999,8049.999999999999,6,0.8049999999999999,"For details of collection, contact Dr. Greg Ruggerone"
1958,Pink,BeringSea,4495,4495,7,0.4495,"For details of collection, contact Dr. Greg Ruggerone"
1958,Pink,CentralAK,10988,10988,7,1.0988,"For details of collection, contact Dr. Greg Ruggerone"
1958,Pink,SEAK,17776,17776,7,1.7776,"For details of collection, contact Dr. Greg Ruggerone"
1958,Pink,BCWC,7326.000000000001,7326.000000000001,7,0.7326000000000001,"For details of collection, contact Dr. Greg Ruggerone"
1958,Chum,BeringSea,12280,12280,7,1.228,"For details of collection, contact Dr. Greg Ruggerone"
1958,Chum,CentralAK,7722,7722,7,0.7722,"For details of collection, contact Dr. Greg Ruggerone"
1958,Chum,SEAK,8740,8740,7,0.874,"For details of collection, contact Dr. Greg Ruggerone"
1958,Chum,BCWC,15344,15344,7,1.5344,"For details of collection, contact Dr. Greg Ruggerone"
1958,Sockeye,BeringSea,8645.000000000002,8645.000000000002,7,0.8645000000000002,"For details of collection, contact Dr. Greg Ruggerone"
1958,Sockeye,CentralAK,5720.000000000001,5720.000000000001,7,0.5720000000000001,"For details of collection, contact Dr. Greg Ruggerone"
1958,Sockeye,SEAK,1882.9999999999998,1882.9999999999998,7,0.18829999999999997,"For details of collection, contact Dr. Greg Ruggerone"
1958,Sockeye,BCWC,17236,17236,7,1.7236,"For details of collection, contact Dr. Greg Ruggerone"
1959,Pink,BeringSea,474,474,8,0.0474,"For details of collection, contact Dr. Greg Ruggerone"
1959,Pink,CentralAK,12084,12084,8,1.2084,"For details of collection, contact Dr. Greg Ruggerone"
1959,Pink,SEAK,15312,15312,8,1.5312,"For details of collection, contact Dr. Greg Ruggerone"
1959,Pink,BCWC,6496,6496,8,0.6496,"For details of collection, contact Dr. Greg Ruggerone"
1959,Chum,BeringSea,12627.999999999998,12627.999999999998,8,1.2628,"For details of collection, contact Dr. Greg Ruggerone"
1959,Chum,CentralAK,8774.999999999998,8774.999999999998,8,0.8774999999999998,"For details of collection, contact Dr. Greg Ruggerone"
1959,Chum,SEAK,6555,6555,8,0.6555,"For details of collection, contact Dr. Greg Ruggerone"
1959,Chum,BCWC,17259,17259,8,1.7259,"For details of collection, contact Dr. Greg Ruggerone"
1959,Sockeye,BeringSea,21489,21489,8,2.1489,"For details of collection, contact Dr. Greg Ruggerone"
1959,Sockeye,CentralAK,6240,6240,8,0.624,"For details of collection, contact Dr. Greg Ruggerone"
1959,Sockeye,SEAK,1882.9999999999998,1882.9999999999998,8,0.18829999999999997,"For details of collection, contact Dr. Greg Ruggerone"
1959,Sockeye,BCWC,19344,19344,8,1.9344,"For details of collection, contact Dr. Greg Ruggerone"
1960,Pink,BeringSea,6549,6549,9,0.6549,"For details of collection, contact Dr. Greg Ruggerone"
1960,Pink,CentralAK,14258.999999999998,14258.999999999998,9,1.4258999999999997,"For details of collection, contact Dr. Greg Ruggerone"
1960,Pink,SEAK,7238,7238,9,0.7238,"For details of collection, contact Dr. Greg Ruggerone"
1960,Pink,BCWC,9647.999999999998,9647.999999999998,9,0.9647999999999998,"For details of collection, contact Dr. Greg Ruggerone"
1960,Chum,BeringSea,13248,13248,9,1.3248,"For details of collection, contact Dr. Greg Ruggerone"
1960,Chum,CentralAK,7774.999999999999,7774.999999999999,9,0.7774999999999999,"For details of collection, contact Dr. Greg Ruggerone"
1960,Chum,SEAK,4580,4580,9,0.458,"For details of collection, contact Dr. Greg Ruggerone"
1960,Chum,BCWC,13581.000000000002,13581.000000000002,9,1.3581,"For details of collection, contact Dr. Greg Ruggerone"
1960,Sockeye,BeringSea,50589,50589,9,5.0589,"For details of collection, contact Dr. Greg Ruggerone"
1960,Sockeye,CentralAK,6474.000000000001,6474.000000000001,9,0.6474000000000001,"For details of collection, contact Dr. Greg Ruggerone"
1960,Sockeye,SEAK,1743,1743,9,0.1743,"For details of collection, contact Dr. Greg Ruggerone"
1960,Sockeye,BCWC,14632.000000000002,14632.000000000002,9,1.4632000000000003,"For details of collection, contact Dr. Greg Ruggerone"
1961,Pink,BeringSea,368.00000000000006,368.00000000000006,10,0.036800000000000006,"For details of collection, contact Dr. Greg Ruggerone"
1961,Pink,CentralAK,21720.999999999996,21720.999999999996,10,2.1720999999999995,"For details of collection, contact Dr. Greg Ruggerone"
1961,Pink,SEAK,7552,7552,10,0.7552,"For details of collection, contact Dr. Greg Ruggerone"
1961,Pink,BCWC,33299.99999999999,33299.99999999999,10,3.329999999999999,"For details of collection, contact Dr. Greg Ruggerone"
1961,Chum,BeringSea,11232.000000000002,11232.000000000002,10,1.1232000000000002,"For details of collection, contact Dr. Greg Ruggerone"
1961,Chum,CentralAK,6649.999999999999,6649.999999999999,10,0.6649999999999999,"For details of collection, contact Dr. Greg Ruggerone"
1961,Chum,SEAK,5111.999999999999,5111.999999999999,10,0.5111999999999999,"For details of collection, contact Dr. Greg Ruggerone"
1961,Chum,BCWC,13475,13475,10,1.3475,"For details of collection, contact Dr. Greg Ruggerone"
1961,Sockeye,BeringSea,19028,19028,10,1.9028,"For details of collection, contact Dr. Greg Ruggerone"
1961,Sockeye,CentralAK,6800.000000000001,6800.000000000001,10,0.68,"For details of collection, contact Dr. Greg Ruggerone"
1961,Sockeye,SEAK,2093,2093,10,0.2093,"For details of collection, contact Dr. Greg Ruggerone"
1961,Sockeye,BCWC,18620,18620,10,1.862,"For details of collection, contact Dr. Greg Ruggerone"
1962,Pink,BeringSea,3173.9999999999995,3173.9999999999995,11,0.31739999999999996,"For details of collection, contact Dr. Greg Ruggerone"
1962,Pink,CentralAK,16713.999999999996,16713.999999999996,11,1.6713999999999996,"For details of collection, contact Dr. Greg Ruggerone"
1962,Pink,SEAK,11505,11505,11,1.1505,"For details of collection, contact Dr. Greg Ruggerone"
1962,Pink,BCWC,27599,27599,11,2.7599,"For details of collection, contact Dr. Greg Ruggerone"
1962,Chum,BeringSea,11818,11818,11,1.1818,"For details of collection, contact Dr. Greg Ruggerone"
1962,Chum,CentralAK,9976,9976,11,0.9976,"For details of collection, contact Dr. Greg Ruggerone"
1962,Chum,SEAK,5603,5603,11,0.5603,"For details of collection, contact Dr. Greg Ruggerone"
1962,Chum,BCWC,15630.999999999998,15630.999999999998,11,1.5630999999999997,"For details of collection, contact Dr. Greg Ruggerone"
1962,Sockeye,BeringSea,16510.000000000004,16510.000000000004,11,1.6510000000000005,"For details of collection, contact Dr. Greg Ruggerone"
1962,Sockeye,CentralAK,7770,7770,11,0.777,"For details of collection, contact Dr. Greg Ruggerone"
1962,Sockeye,SEAK,1938.9999999999998,1938.9999999999998,11,0.1939,"For details of collection, contact Dr. Greg Ruggerone"
1962,Sockeye,BCWC,17216,17216,11,1.7216,"For details of collection, contact Dr. Greg Ruggerone"
1963,Pink,BeringSea,417,417,12,0.0417,"For details of collection, contact Dr. Greg Ruggerone"
