"","chemical","units","Chinook","Chum","Coho","Pink","Sockeye"
"1","N","mg/kg ww",32671.0478425498,32671.0478425498,32671.0478425498,32671.0478425498,32671.0478425498
"2","P","mg/kg ww",3634.05308255851,3634.05308255851,3634.05308255851,3634.05308255851,3634.05308255851
"3","DHA","mg/kg ww",7845.47611592217,8441.18977334329,8738.16679780268,6204.96676462294,10895.9932549995
"4","EPA","mg/kg ww",7665.97346932439,6806.57106456388,7559.56781855286,3646.62985899968,6909.25931242904
"5","Hg","mg/kg ww",0.0509948358739366,0.0317856190732205,0.0338470898966169,0.0126054191622244,0.0320144145868529
"6","DDTs","mg/kg ww",0.0150635499667925,0.0028802163851482,0.0110169546871776,0.00287234029197518,0.0102535046217671
"7","PBDEs","mg/kg ww",0.00424352110251963,0.000508782585964139,0.000627313876271635,0.000862929197548508,0.000696928305593214
"8","PCBs","mg/kg ww",0.0189705827312405,0.0042153178751124,0.0141754765433544,0.00386132304844052,0.00558157783682692
