location,species,median
All,Chinook,0.056863558414191745
All,Chum,0.2568498994906636
All,Coho,0.05066387628539615
All,Pink,0.3488342662680852
All,Sockeye,0.2631995030944886
BCWC,Chinook,0.11108860936805195
BCWC,Chum,0.34071011243369476
BCWC,Coho,0.05750481504888347
BCWC,Pink,0.23843379512407434
BCWC,Sockeye,0.2368385119883087
BeringSea,Chinook,0.0612686441543405
BeringSea,Chum,0.29303476690198155
BeringSea,Coho,0.01920914010841675
BeringSea,Pink,0.05504139462287032
BeringSea,Sockeye,0.5502447648546114
CentralAK,Chinook,0.014604542154176014
CentralAK,Chum,0.17023271962881076
CentralAK,Coho,0.0652176423370802
CentralAK,Pink,0.45489189825427373
CentralAK,Sockeye,0.27501029253256937
SEAK,Chinook,0.010794405216080293
SEAK,Chum,0.170972245154852
SEAK,Coho,0.05257852805792083
SEAK,Pink,0.7200296498490414
SEAK,Sockeye,0.02760627334247522
