species,location,year,mean,sd,units
Sockeye,BCWC,1978,18220,2792,Metric Tons
Sockeye,BCWC,1979,18595,2564,Metric Tons
Sockeye,BCWC,1980,18969,2407,Metric Tons
Sockeye,BCWC,1981,19326,2314,Metric Tons
Sockeye,BCWC,1982,19655,2270,Metric Tons
Sockeye,BCWC,1983,19945,2255,Metric Tons
Sockeye,BCWC,1984,20195,2243,Metric Tons
Sockeye,BCWC,1985,20409,2222,Metric Tons
Sockeye,BCWC,1986,20596,2200,Metric Tons
Sockeye,BCWC,1987,20769,2191,Metric Tons
Sockeye,BCWC,1988,20940,2199,Metric Tons
Sockeye,BCWC,1989,21113,2211,Metric Tons
Sockeye,BCWC,1990,21291,2221,Metric Tons
Sockeye,BCWC,1991,21472,2231,Metric Tons
Sockeye,BCWC,1992,21655,2247,Metric Tons
Sockeye,BCWC,1993,21838,2268,Metric Tons
Sockeye,BCWC,1994,22018,2290,Metric Tons
Sockeye,BCWC,1995,22198,2311,Metric Tons
Sockeye,BCWC,1996,22380,2338,Metric Tons
Sockeye,BCWC,1997,22564,2377,Metric Tons
Sockeye,BCWC,1998,22746,2427,Metric Tons
Sockeye,BCWC,1999,22915,2480,Metric Tons
Sockeye,BCWC,2000,23056,2523,Metric Tons
Sockeye,BCWC,2001,23156,2544,Metric Tons
Sockeye,BCWC,2002,23205,2537,Metric Tons
Sockeye,BCWC,2003,23205,2506,Metric Tons
Sockeye,BCWC,2004,23163,2465,Metric Tons
Sockeye,BCWC,2005,23095,2431,Metric Tons
Sockeye,BCWC,2006,23017,2414,Metric Tons
Sockeye,BCWC,2007,22939,2417,Metric Tons
Sockeye,BCWC,2008,22867,2444,Metric Tons
Sockeye,BCWC,2009,22794,2510,Metric Tons
Sockeye,BCWC,2010,22712,2624,Metric Tons
Sockeye,BCWC,2011,22608,2791,Metric Tons
Sockeye,BCWC,2012,22478,3015,Metric Tons
Sockeye,BCWC,2013,22326,3307,Metric Tons
Sockeye,BCWC,2014,22167,3673,Metric Tons
Sockeye,BCWC,2015,22017,4101,Metric Tons
Sockeye,BeringSea,1976,39521,7575,Metric Tons
Sockeye,BeringSea,1977,39486,6678,Metric Tons
Sockeye,BeringSea,1978,39467,5930,Metric Tons
Sockeye,BeringSea,1979,39424,5348,Metric Tons
Sockeye,BeringSea,1980,39323,4913,Metric Tons
Sockeye,BeringSea,1981,39143,4594,Metric Tons
Sockeye,BeringSea,1982,38891,4379,Metric Tons
Sockeye,BeringSea,1983,38587,4253,Metric Tons
Sockeye,BeringSea,1984,38255,4181,Metric Tons
Sockeye,BeringSea,1985,37916,4130,Metric Tons
Sockeye,BeringSea,1986,37583,4081,Metric Tons
Sockeye,BeringSea,1987,37255,4036,Metric Tons
Sockeye,BeringSea,1988,36923,3994,Metric Tons
Sockeye,BeringSea,1989,36571,3943,Metric Tons
Sockeye,BeringSea,1990,36183,3862,Metric Tons
Sockeye,BeringSea,1991,35751,3750,Metric Tons
Sockeye,BeringSea,1992,35276,3622,Metric Tons
Sockeye,BeringSea,1993,34769,3499,Metric Tons
Sockeye,BeringSea,1994,34244,3390,Metric Tons
Sockeye,BeringSea,1995,33717,3301,Metric Tons
Sockeye,BeringSea,1996,33204,3232,Metric Tons
Sockeye,BeringSea,1997,32718,3181,Metric Tons
Sockeye,BeringSea,1998,32268,3142,Metric Tons
Sockeye,BeringSea,1999,31861,3112,Metric Tons
Sockeye,BeringSea,2000,31496,3092,Metric Tons
Sockeye,BeringSea,2001,31171,3078,Metric Tons
Sockeye,BeringSea,2002,30877,3066,Metric Tons
Sockeye,BeringSea,2003,30601,3051,Metric Tons
Sockeye,BeringSea,2004,30332,3038,Metric Tons
Sockeye,BeringSea,2005,30059,3035,Metric Tons
Sockeye,BeringSea,2006,29779,3045,Metric Tons
Sockeye,BeringSea,2007,29495,3072,Metric Tons
Sockeye,BeringSea,2008,29221,3122,Metric Tons
Sockeye,BeringSea,2009,28976,3208,Metric Tons
Sockeye,BeringSea,2010,28779,3336,Metric Tons
Sockeye,BeringSea,2011,28645,3508,Metric Tons
Sockeye,BeringSea,2012,28581,3737,Metric Tons
Sockeye,BeringSea,2013,28586,4065,Metric Tons
Sockeye,BeringSea,2014,28652,4538,Metric Tons
Sockeye,BeringSea,2015,28766,5177,Metric Tons
Sockeye,CentralAK,1976,11043,2003,Metric Tons
Sockeye,CentralAK,1977,11171,1782,Metric Tons
Sockeye,CentralAK,1978,11314,1619,Metric Tons
Sockeye,CentralAK,1979,11476,1505,Metric Tons
Sockeye,CentralAK,1980,11654,1426,Metric Tons
Sockeye,CentralAK,1981,11848,1369,Metric Tons
Sockeye,CentralAK,1982,12053,1327,Metric Tons
Sockeye,CentralAK,1983,12267,1301,Metric Tons
Sockeye,CentralAK,1984,12486,1288,Metric Tons
Sockeye,CentralAK,1985,12706,1285,Metric Tons
Sockeye,CentralAK,1986,12928,1289,Metric Tons
Sockeye,CentralAK,1987,13152,1298,Metric Tons
Sockeye,CentralAK,1988,13382,1312,Metric Tons
Sockeye,CentralAK,1989,13619,1326,Metric Tons
Sockeye,CentralAK,1990,13865,1340,Metric Tons
Sockeye,CentralAK,1991,14119,1353,Metric Tons
Sockeye,CentralAK,1992,14379,1365,Metric Tons
Sockeye,CentralAK,1993,14644,1378,Metric Tons
Sockeye,CentralAK,1994,14912,1393,Metric Tons
Sockeye,CentralAK,1995,15183,1415,Metric Tons
Sockeye,CentralAK,1996,15458,1448,Metric Tons
Sockeye,CentralAK,1997,15734,1492,Metric Tons
Sockeye,CentralAK,1998,16009,1545,Metric Tons
Sockeye,CentralAK,1999,16278,1607,Metric Tons
Sockeye,CentralAK,2000,16532,1671,Metric Tons
Sockeye,CentralAK,2001,16762,1725,Metric Tons
Sockeye,CentralAK,2002,16960,1752,Metric Tons
Sockeye,CentralAK,2003,17123,1746,Metric Tons
Sockeye,CentralAK,2004,17257,1728,Metric Tons
Sockeye,CentralAK,2005,17373,1730,Metric Tons
Sockeye,CentralAK,2006,17485,1769,Metric Tons
Sockeye,CentralAK,2007,17608,1843,Metric Tons
Sockeye,CentralAK,2008,17751,1940,Metric Tons
Sockeye,CentralAK,2009,17922,2051,Metric Tons
Sockeye,CentralAK,2010,18122,2180,Metric Tons
Sockeye,CentralAK,2011,18350,2335,Metric Tons
Sockeye,CentralAK,2012,18604,2533,Metric Tons
Sockeye,CentralAK,2013,18882,2799,Metric Tons
Sockeye,CentralAK,2014,19185,3156,Metric Tons
Sockeye,CentralAK,2015,19514,3618,Metric Tons
Sockeye,SEAK,1976,2173,371,Metric Tons
Sockeye,SEAK,1977,2160,334,Metric Tons
Sockeye,SEAK,1978,2149,302,Metric Tons
Sockeye,SEAK,1979,2138,276,Metric Tons
Sockeye,SEAK,1980,2128,255,Metric Tons
Sockeye,SEAK,1981,2119,238,Metric Tons
Sockeye,SEAK,1982,2109,225,Metric Tons
Sockeye,SEAK,1983,2098,216,Metric Tons
Sockeye,SEAK,1984,2086,210,Metric Tons
Sockeye,SEAK,1985,2072,204,Metric Tons
Sockeye,SEAK,1986,2057,200,Metric Tons
Sockeye,SEAK,1987,2042,196,Metric Tons
Sockeye,SEAK,1988,2025,194,Metric Tons
Sockeye,SEAK,1989,2009,192,Metric Tons
Sockeye,SEAK,1990,1991,192,Metric Tons
Sockeye,SEAK,1991,1973,193,Metric Tons
Sockeye,SEAK,1992,1953,193,Metric Tons
Sockeye,SEAK,1993,1931,190,Metric Tons
Sockeye,SEAK,1994,1908,185,Metric Tons
Sockeye,SEAK,1995,1884,179,Metric Tons
Sockeye,SEAK,1996,1859,174,Metric Tons
Sockeye,SEAK,1997,1834,171,Metric Tons
Sockeye,SEAK,1998,1811,170,Metric Tons
Sockeye,SEAK,1999,1789,170,Metric Tons
Sockeye,SEAK,2000,1768,170,Metric Tons
Sockeye,SEAK,2001,1749,170,Metric Tons
Sockeye,SEAK,2002,1731,170,Metric Tons
Sockeye,SEAK,2003,1714,170,Metric Tons
Sockeye,SEAK,2004,1698,170,Metric Tons
Sockeye,SEAK,2005,1682,170,Metric Tons
Sockeye,SEAK,2006,1667,171,Metric Tons
Sockeye,SEAK,2007,1652,173,Metric Tons
Sockeye,SEAK,2008,1638,175,Metric Tons
Sockeye,SEAK,2009,1625,180,Metric Tons
Sockeye,SEAK,2010,1613,188,Metric Tons
Sockeye,SEAK,2011,1602,198,Metric Tons
Sockeye,SEAK,2012,1592,211,Metric Tons
Sockeye,SEAK,2013,1583,228,Metric Tons
Sockeye,SEAK,2014,1576,250,Metric Tons
Sockeye,SEAK,2015,1570,277,Metric Tons
