species,median,mean,low95,high95,sd
Chinook,0.9381089424526742,0.9709059131434188,0.4376091584310331,1.7533185200039325,0.3603480633183734
Coho,1.3959092328244846,1.494290707465088,0.6356657676118462,2.968692604146679,0.6331817945300781
Sockeye,2.2568490941511383,2.2583314337833165,0.8614359614866252,4.184424278022907,0.909152254471722
Pink,4.351014619664591,4.62436243569008,1.5787235107863882,9.440654286567169,2.2059483884336593
Chum,4.591671221490081,4.6534168504998314,0.9609265258143614,10.365415960109175,2.6800070615317755
