species,median_mt,N,P,DHA,EPA,Hg,DDTs,PBDEs,PCBs
Coho,14807.289860355362,32421.024519218885,3676.55202316558,7095.938493197755,5997.856859716366,0.033231080326816445,0.01069776906285285,4.336643964832255e-4,0.012699289551895362
Chinook,15654.428570115662,31339.923897362714,3676.55202316558,6821.824209029774,6611.72386204454,0.050374147095823454,0.014909419824223346,0.0036175936419896547,0.017147015565554983
Sockeye,72041.78064638436,33315.856343993946,3676.55202316558,10165.175410276233,6411.788509791713,0.03138308556829564,0.010003287139544802,5.553536079722872e-4,0.004969501219974201
Chum,73109.21407475237,30248.01042415626,3676.55202316558,6634.198632590075,5404.459494093264,0.030973831781016238,0.0027302723309622695,3.53773697948534e-4,0.0035569904950004715
Pink,114439.3463397029,30939.001302768516,3676.55202316558,5717.6614069714,3303.899028513306,0.011903941249427792,0.002687968326892865,5.812477261064623e-4,0.002911328726143891
sumfish_meanchem,296003.0123792279,31796.49634532709,3676.55202316558,8077.512992302009,6128.108823283883,0.03211768206608899,0.008386249626352617,0.001234015447156108,0.00854461715271344
