chemical,type,Chinook,Chum,Coho,Pink,Sockeye,Total,units,summary
N,Nutrients,494 ± 43,2255 ± 175,471 ± 64,3520 ± 365,2435 ± 282,9175 ± 507,MT/y,Average Annual
DHA,Nutrients,124 ± 72,643 ± 511,121 ± 88,718 ± 320,810 ± 347,2416 ± 810,MT/y,Average Annual
EPA,Nutrients,123 ± 69,527 ± 418,110 ± 78,419 ± 197,503 ± 203,1682 ± 574,MT/y,Average Annual
P,Nutrients,58 ± 5,274 ± 23,53 ± 5,417 ± 36,267 ± 23,1070 ± 86,MT/y,Average Annual
Hg,Contaminants,0.76 ± 0.21,2 ± 0.64,0.46 ± 0.13,1.35 ± 0.5,2 ± 0.62,7 ± 2,Kg/y,Average Annual
PCBs,Contaminants,0.31 ± 0.15,0.32 ± 0.21,0.21 ± 0.1,0.45 ± 0.36,0.42 ± 0.21,1.7 ± 0.78,Kg/y,Average Annual
DDTs,Contaminants,0.24 ± 0.06,0.22 ± 0.08,0.16 ± 0.05,0.33 ± 0.13,0.75 ± 0.22,1.69 ± 0.44,Kg/y,Average Annual
PBDEs,Contaminants,0.07 ± 0.07,0.04 ± 0.04,0.01 ± 0.01,0.1 ± 0.12,0.05 ± 0.04,0.27 ± 0.19,Kg/y,Average Annual
DHA,Nutrients,4322 ± 2877,19966 ± 20450,3902 ± 3526,26428 ± 12809,30178 ± 13876,90739 ± 32416,MT,Cumulative
EPA,Nutrients,4224 ± 2752,16446 ± 16708,3533 ± 3135,15156 ± 7880,18366 ± 8117,62530 ± 22948,MT,Cumulative
P,Nutrients,2312 ± 214,10851 ± 939,2112 ± 185,16615 ± 1459,10651 ± 912,42555 ± 3422,MT,Cumulative
N,Nutrients,19743 ± 1739,89822 ± 6985,18645 ± 2554,139883 ± 14587,96479 ± 11268,365206 ± 20265,MT,Cumulative
PBDEs,Contaminants,2 ± 2.79,1.05 ± 1.48,0.25 ± 0.41,3 ± 5,1.62 ± 1.62,9 ± 8,Kg,Cumulative
DDTs,Contaminants,9 ± 3,8 ± 3,6 ± 2,12 ± 5,29 ± 9,66 ± 17,Kg,Cumulative
PCBs,Contaminants,11 ± 6,11 ± 8,7 ± 4,13 ± 14,15 ± 8,63 ± 31,Kg,Cumulative
Hg,Contaminants,31 ± 8,89 ± 26,19 ± 5,51 ± 20,88 ± 25,279 ± 72,Kg,Cumulative
