location,Chinook,Chum,Coho,Pink,Sockeye,Total
BCWC,10514.269498716902,31671.559407706573,5519.123422348092,26603.500216581597,21460.038173369136,95768.4907187223
BeringSea,3761.8133049613384,19946.151458761324,1434.2378689052932,4069.11103313662,33671.10083814313,62882.414503907705
CentralAK,779.0096405272204,10204.165220385852,3890.721175302831,28978.5802452134,15284.582498767426,59137.05878019673
SEAK,665.5063720523451,12136.08784570429,3551.5418858137914,53100.08584736364,1849.5217998902122,71302.74375082427
Total,15720.598816257805,73957.96393255804,14395.624352370009,112751.27734229526,72265.2433101699,289090.707753651
