location,Chinook,Chum,Coho,Pink,Sockeye,species_total
BCWC,1.57125,6.645,1.6775,15.445,8.1225,33.46125
BeringSea,0.45875,5.975,0.43525,2.61,12.7625,22.2415
CentralAK,0.08275,2.9725,1.077,18.67,5.5024999999999995,28.30475
region_total,2.20175,18.6075,4.2735,70.505,27.037499999999998,122.62525
SEAK,0.089,3.015,1.08375,33.78,0.65,38.61775
