location,Chinook,Chum,Coho,Pink,Sockeye,Total
BCWC,10548.686526564174,31731.17770821296,5532.56424094925,26518.28533283099,21499.73697069416,95830.45077925154
BeringSea,3754.4552229249507,19725.87952456465,1427.8380251678204,4103.187230175499,33808.79986597746,62820.159868810384
CentralAK,770.0192444973418,10175.005602565732,3876.8543924343326,29027.049976577866,15177.755883181093,59026.68509925636
SEAK,666.2419306723156,12073.047410925727,3567.83733338124,53175.59769954842,1868.9467253670414,71351.67109989475
total_regions,15739.402924658782,73705.11024626908,14405.093991932643,112824.12023913278,72355.23944521975,289028.96684721304
