units,Year,Bering Sea_Pink salmon,Central AK_Pink salmon,SEAK_Pink salmon,BCWC_Pink salmon,Bering Sea_Chum salmon,Central AK_Chum salmon,SEAK_Chum salmon,BCWC_Chum salmon,Bering Sea_Sockeye salmon,Central AK_Sockeye salmon,SEAK_Sockeye salmon,BCWC_Sockeye salmon,Bering Sea_Chinook salmon,Central AK_Chinook salmon,SEAK_Chinook salmon,BCWC_Chinook salmon,Bering Sea_Coho salmon,Central AK_Coho salmon,SEAK_Coho salmon,BCWC_Coho salmon
metric_tons_wet,1980,10659,20852,31088,12626,20927,7517,10589,19891,103097,9658,1957,11870,6297,492,776,5800,1515,2840,1668,3953
metric_tons_wet,1981,1661,25179,38908,14988,21643,13600,4525,28965,30123,11560,2219,21672,5851,652,891,6060,1384,3431,2184,3420
metric_tons_wet,1982,7315,20967,26845,8137,14663,12204,5212,29044,24292,13696,2287,35937,4256,1234,736,6649,2917,6487,3052,4189
metric_tons_wet,1983,727,17290,34150,29749,13512,10724,3371,21712,32474,11537,2034,20135,4738,1471,374,5057,789,3133,2781,3630
metric_tons_wet,1984,7348,35192,44359,13491,20747,12220,15226,22871,43251,13112,2203,15278,3221,1005,555,6892,3622,4956,3184,5397
metric_tons_wet,1985,319,23648,66308,32805,18034,14740,10411,31973,36719,14224,2497,22572,3954,805,579,11438,1780,6805,3962,4585
metric_tons_wet,1986,1692,19544,58811,26682,17078,11667,8793,38850,24368,12416,1769,22558,2750,949,759,10761,2261,4411,5026,4854
metric_tons_wet,1987,293,22138,36945,48764,16985,9530,14418,26787,35002,13714,2028,19859,3383,1087,736,11374,1617,3047,2109,3691
metric_tons_wet,1988,9044,26832,19886,18502,22836,14305,13058,29819,26486,12010,1451,15723,2697,1116,918,12838,2545,6692,1715,3733
metric_tons_wet,1989,305,41972,47360,10080,17143,10061,3903,34323,43800,13508,2162,15447,2923,734,854,11402,2498,3861,2964,3666
metric_tons_wet,1990,6717,19917,35137,27064,14037,6116,5133,44752,40261,10591,2054,25072,3506,801,753,11955,1663,4851,3982,4519
metric_tons_wet,1991,248,24143,33522,35681,15450,7105,4095,37375,45900,15345,2066,19826,4207,743,766,10152,2109,5021,4438,4203
metric_tons_wet,1992,4356,19086,40792,21137,13742,6795,10286,41465,35645,14426,2510,18294,3709,957,838,12225,2859,5792,5531,3069
metric_tons_wet,1993,1388,19114,40563,37791,9898,3643,8315,35265,32876,11811,2632,33262,5065,1122,1127,10983,1753,3663,4363,2793
metric_tons_wet,1994,12946,18168,47444,9197,22125,7519,12193,54230,42679,17203,2012,19574,6085,984,813,10930,3152,7156,8412,4683
metric_tons_wet,1995,214,47654,51968,40451,27172,9030,14635,40793,45254,14039,1415,13541,5842,1295,678,9924,1806,6442,4967,3634
metric_tons_wet,1996,6004,21649,83036,29415,30601,8348,21449,38735,27302,14385,2053,19195,4443,893,1086,10902,3632,4163,4418,3154
metric_tons_wet,1997,317,33490,64980,25172,14439,12516,17658,28157,18705,15937,1781,19306,5563,877,1331,11622,855,1793,2801,3206
metric_tons_wet,1998,6162,37955,63489,13506,15331,10820,25591,66657,22280,15080,1503,30516,3848,888,589,12607,1417,2591,4531,7650
metric_tons_wet,1999,161,32435,102468,22293,16689,11322,24769,35645,40503,16442,1685,13382,3213,962,445,9675,218,2292,4234,5592
metric_tons_wet,2000,3310,30689,47317,25344,10734,12565,30923,25485,30237,22912,1152,23502,1908,514,631,10471,997,4653,2695,6455
metric_tons_wet,2001,206,29307,72274,36304,19206,12869,14182,40441,30350,19551,1506,27273,5005,716,1082,19927,624,3917,4308,10830
metric_tons_wet,2002,4360,32069,80724,17890,18643,9694,13484,39799,18101,17977,1481,46661,3968,730,966,18944,538,4854,4737,10512
metric_tons_wet,2003,988,45123,70246,53763,20783,12610,9581,27539,28877,27467,2330,20450,4847,801,772,19577,1066,3004,3405,8970
metric_tons_wet,2004,11560,51922,65992,15108,18381,10765,15355,41470,42169,18073,1713,20425,5524,852,1011,16062,1428,4692,4217,9838
metric_tons_wet,2005,4007,51245,79550,67627,31700,10025,25755,33633,38563,17283,1667,22162,4919,762,648,11012,636,3231,3562,6258
metric_tons_wet,2006,5854,27732,46937,6332,20612,12353,18398,34283,28482,16752,1903,29753,4085,616,617,12974,891,4672,2777,5391
metric_tons_wet,2007,2868,38338,71991,35380,20000,10657,8535,25403,27661,12983,1564,9256,2450,641,315,7656,744,2887,2493,4373
metric_tons_wet,2008,5427,21903,39888,6875,19255,6759,7019,20238,29117,10209,931,11760,1908,417,421,9133,1143,4257,3683,5467
metric_tons_wet,2009,1232,23836,46516,44392,17395,7460,6219,23219,27278,12366,1481,9633,1868,259,350,8201,666,3227,3256,9569
metric_tons_wet,2010,5390,18444,54972,13491,23153,5403,8431,17516,22684,15062,1392,56382,1172,386,447,8342,547,3072,3777,7172
metric_tons_wet,2011,1464,25677,74271,45427,29547,10334,7245,34085,19612,18994,1726,22145,1372,413,323,9607,328,1971,2679,7338
metric_tons_wet,2012,4369,16033,45334,14458,29548,8488,9371,25834,20091,19289,1906,14043,1535,308,291,8804,750,1540,2587,5804
metric_tons_wet,2013,1428,37784,93344,52819,28495,9414,8661,20619,22159,19353,1607,15283,1275,428,323,12473,857,3925,4884,6061
metric_tons_wet,2014,4746,15925,56754,27234,28089,6210,12937,25476,30113,18452,1547,37780,1448,296,383,10759,1065,4385,5500,5925
metric_tons_wet,2015,1594,61611,50047,53491,22296,10381,14222,20212,48564,21718,1540,6403,1606,622,377,8765,584,2893,2925,4692
