units,Year,Bering Sea_Pink salmon,Central AK_Pink salmon,SEAK_Pink salmon,BCWC_Pink salmon,Bering Sea_Chum salmon,Central AK_Chum salmon,SEAK_Chum salmon,BCWC_Chum salmon,Bering Sea_Sockeye salmon,Central AK_Sockeye salmon,SEAK_Sockeye salmon,BCWC_Sockeye salmon,Bering Sea_Chinook salmon,Central AK_Chinook salmon,SEAK_Chinook salmon,BCWC_Chinook salmon,Bering Sea_Coho salmon,Central AK_Coho salmon,SEAK_Coho salmon,BCWC_Coho salmon
metric_tons_wet,1952,6305,11264,17684,7567,11955,7367,10112,16996,30856,5791,1753,17075,,,,,,,,
metric_tons_wet,1953,432,11407,11390,20909,12084,7297,9558,12294,13265,4798,1753,15970,,,,,,,,
metric_tons_wet,1954,6185,17183,16616,13661,12587,10158,10165,13681,10672,6335,1765,23569,,,,,,,,
metric_tons_wet,1955,459,16757,17129,13356,11402,7876,6963,9511,5186,5850,1737,12147,,,,,,,,
metric_tons_wet,1956,6074,12975,22027,8076,12419,8812,8666,9823,32452,6909,1738,13555,,,,,,,,
metric_tons_wet,1957,455,7759,14015,7934,12028,10095,9435,19067,16613,6257,1726,7986,,,,,,,,
metric_tons_wet,1958,4424,10918,17725,7378,12160,7889,8766,15545,8655,5812,1754,17351,,,,,,,,
metric_tons_wet,1959,444,12131,15304,6460,12766,8793,6526,17367,21588,6125,1771,19391,,,,,,,,
metric_tons_wet,1960,6576,14279,7178,9734,13303,7747,4400,13783,50490,6388,1620,14717,,,,,,,,
metric_tons_wet,1961,459,21665,7644,33196,11261,6627,5166,13689,18910,6868,1957,18474,,,,,,,,
metric_tons_wet,1962,3153,16617,11532,27641,11794,9957,5580,15842,16615,7813,1807,17290,,,,,,,,
metric_tons_wet,1963,374,15417,15775,18931,8402,8377,4456,16489,11060,6802,1643,21520,,,,,,,,
metric_tons_wet,1964,2921,24018,13452,15714,11660,12670,5090,22355,12617,6860,1767,15992,,,,,,,,
metric_tons_wet,1965,164,9908,12151,40878,10013,5507,5489,10228,60762,7800,1774,7952,,,,,,,,
metric_tons_wet,1966,4545,19901,18927,16143,10825,8313,6788,23271,25761,9236,1993,14742,,,,,,,,
metric_tons_wet,1967,341,8856,6383,38482,9661,5508,9798,15455,19641,7732,1842,10751,,,,,,,,
metric_tons_wet,1968,9743,16804,12424,21309,10177,8335,6210,30897,12573,9536,2126,30523,,,,,,,,
metric_tons_wet,1969,737,13022,12534,30255,8967,3624,3694,17293,32966,8275,1685,8518,,,,,,,,
metric_tons_wet,1970,2168,15047,13003,14187,12275,5968,8169,28746,44001,10585,1886,16739,,,,,,,,
metric_tons_wet,1971,150,10847,15822,9879,10761,6165,9011,13359,20514,10156,2067,62254,,,,,,,,
metric_tons_wet,1972,578,8457,11943,14020,11076,7613,10143,34724,9250,7978,1852,15088,,,,,,,,
metric_tons_wet,1973,449,9644,13194,9968,13130,11479,11732,34033,6596,9619,2060,22134,,,,,,,,
metric_tons_wet,1974,5189,12643,13196,14222,14072,7249,11522,21443,25707,8669,1917,22605,,,,,,,,
metric_tons_wet,1975,337,13946,15612,29037,19386,7416,7457,11627,50713,7444,1656,10749,,,,,,,,
metric_tons_wet,1976,4574,19578,45810,16570,13579,5556,24485,22897,18428,11307,1914,8223,3757,652,281,6453,332,1115,1235,4435
metric_tons_wet,1977,483,22980,24286,18172,17566,20484,3361,26124,16533,13815,2059,18960,5079,561,517,6011,968,1195,1697,5948
metric_tons_wet,1978,19369,26228,27354,13055,18091,9352,3955,29559,32724,9481,1954,18629,5587,824,400,7473,807,1761,2348,4841
metric_tons_wet,1979,1355,26591,39581,10263,15028,12222,8542,16205,55841,9198,1898,18796,4211,595,489,6636,1489,3032,1824,4910
