"","year","mean","sd","median","low95CI","high95CI","measure","units"
"1",2000,11328.2982779234,2303.2917795616,10916.2256956487,7947.22885619245,17747.574727657,"Nitrogen","metric tons"
"2",2001,11313.508085261,2300.28460863955,10901.9735037286,7936.85297774785,17724.403546684,"Nitrogen","metric tons"
"3",2002,11656.3316126495,2369.98815926138,11232.3266518307,8177.35662292053,18261.4909380519,"Nitrogen","metric tons"
"4",2003,11666.8989394526,2372.13672883117,11242.509586774,8184.77000156239,18278.0463303543,"Nitrogen","metric tons"
"5",2004,11638.016156599,2366.26422488704,11214.6774297622,8164.50763913961,18232.7968732461,"Nitrogen","metric tons"
"6",2005,11271.1060641806,2291.66334671696,10861.1138776215,7907.10635939232,17657.9740601658,"Nitrogen","metric tons"
"7",2006,10327.0333496483,2099.71263449673,9951.38228580585,7244.80371382233,16178.9345223249,"Nitrogen","metric tons"
"8",2007,9655.48989720065,1963.1731052847,9304.26656625953,6773.69063288592,15126.8552679845,"Nitrogen","metric tons"
"9",2008,9077.31205385132,1845.61685446578,8747.12023453515,6368.07705104447,14221.0480382513,"Nitrogen","metric tons"
"10",2009,9132.41051622191,1856.81958168316,8800.21446245574,6406.73070222319,14307.3685123693,"Nitrogen","metric tons"
"11",2010,9408.35058669154,1912.92425692842,9066.11707322915,6600.31307768815,14739.6723678,"Nitrogen","metric tons"
"12",2011,9865.59243012374,2005.89156352745,9506.72651323017,6921.08549056366,15456.0141859474,"Nitrogen","metric tons"
"13",2012,10031.8443303523,2039.69422529875,9666.93091646015,7037.71747415722,15716.4741377014,"Nitrogen","metric tons"
"14",2013,10628.1347777469,2160.93316622525,10241.5309970922,7456.03773144079,16650.6576324233,"Nitrogen","metric tons"
"15",2014,10480.4022234148,2130.89589411087,10099.1722891804,7352.39776805145,16419.2111712344,"Nitrogen","metric tons"
"16",2015,10567.4865204839,2148.60204384733,10183.0888508767,7413.49068965449,16555.6425249932,"Nitrogen","metric tons"
