units,year,name,location,species,family,y,time,y_10000
metric_tons_wet,1955,SEAK_Sockeye salmon,SEAK,Sockeye,salmon,1737,4,0.1737
metric_tons_wet,1955,BCWC_Sockeye salmon,BCWC,Sockeye,salmon,12147,4,1.2147
metric_tons_wet,1956,Bering Sea_Pink salmon,BeringSea,Pink,salmon,6074,5,0.6074
metric_tons_wet,1956,Central AK_Pink salmon,CentralAK,Pink,salmon,12975,5,1.2975
metric_tons_wet,1956,SEAK_Pink salmon,SEAK,Pink,salmon,22027,5,2.2027
metric_tons_wet,1956,BCWC_Pink salmon,BCWC,Pink,salmon,8076,5,0.8076
metric_tons_wet,1956,Bering Sea_Chum salmon,BeringSea,Chum,salmon,12419,5,1.2419
metric_tons_wet,1956,Central AK_Chum salmon,CentralAK,Chum,salmon,8812,5,0.8812
metric_tons_wet,1956,SEAK_Chum salmon,SEAK,Chum,salmon,8666,5,0.8666
metric_tons_wet,1956,BCWC_Chum salmon,BCWC,Chum,salmon,9823,5,0.9823
metric_tons_wet,1956,Bering Sea_Sockeye salmon,BeringSea,Sockeye,salmon,32452,5,3.2452
metric_tons_wet,1956,Central AK_Sockeye salmon,CentralAK,Sockeye,salmon,6909,5,0.6909
metric_tons_wet,1956,SEAK_Sockeye salmon,SEAK,Sockeye,salmon,1738,5,0.1738
metric_tons_wet,1956,BCWC_Sockeye salmon,BCWC,Sockeye,salmon,13555,5,1.3555
metric_tons_wet,1957,Bering Sea_Pink salmon,BeringSea,Pink,salmon,455,6,0.0455
metric_tons_wet,1957,Central AK_Pink salmon,CentralAK,Pink,salmon,7759,6,0.7759
metric_tons_wet,1957,SEAK_Pink salmon,SEAK,Pink,salmon,14015,6,1.4015
metric_tons_wet,1957,BCWC_Pink salmon,BCWC,Pink,salmon,7934,6,0.7934
metric_tons_wet,1957,Bering Sea_Chum salmon,BeringSea,Chum,salmon,12028,6,1.2028
metric_tons_wet,1957,Central AK_Chum salmon,CentralAK,Chum,salmon,10095,6,1.0095
metric_tons_wet,1957,SEAK_Chum salmon,SEAK,Chum,salmon,9435,6,0.9435
metric_tons_wet,1957,BCWC_Chum salmon,BCWC,Chum,salmon,19067,6,1.9067
metric_tons_wet,1957,Bering Sea_Sockeye salmon,BeringSea,Sockeye,salmon,16613,6,1.6613
metric_tons_wet,1957,Central AK_Sockeye salmon,CentralAK,Sockeye,salmon,6257,6,0.6257
metric_tons_wet,1957,SEAK_Sockeye salmon,SEAK,Sockeye,salmon,1726,6,0.1726
metric_tons_wet,1957,BCWC_Sockeye salmon,BCWC,Sockeye,salmon,7986,6,0.7986
metric_tons_wet,1958,Bering Sea_Pink salmon,BeringSea,Pink,salmon,4424,7,0.4424
metric_tons_wet,1958,Central AK_Pink salmon,CentralAK,Pink,salmon,10918,7,1.0918
metric_tons_wet,1958,SEAK_Pink salmon,SEAK,Pink,salmon,17725,7,1.7725
metric_tons_wet,1958,BCWC_Pink salmon,BCWC,Pink,salmon,7378,7,0.7378
metric_tons_wet,1958,Bering Sea_Chum salmon,BeringSea,Chum,salmon,12160,7,1.216
metric_tons_wet,1958,Central AK_Chum salmon,CentralAK,Chum,salmon,7889,7,0.7889
metric_tons_wet,1958,SEAK_Chum salmon,SEAK,Chum,salmon,8766,7,0.8766
metric_tons_wet,1958,BCWC_Chum salmon,BCWC,Chum,salmon,15545,7,1.5545
metric_tons_wet,1958,Bering Sea_Sockeye salmon,BeringSea,Sockeye,salmon,8655,7,0.8655
metric_tons_wet,1958,Central AK_Sockeye salmon,CentralAK,Sockeye,salmon,5812,7,0.5812
metric_tons_wet,1958,SEAK_Sockeye salmon,SEAK,Sockeye,salmon,1754,7,0.1754
metric_tons_wet,1958,BCWC_Sockeye salmon,BCWC,Sockeye,salmon,17351,7,1.7351
metric_tons_wet,1959,Bering Sea_Pink salmon,BeringSea,Pink,salmon,444,8,0.0444
metric_tons_wet,1959,Central AK_Pink salmon,CentralAK,Pink,salmon,12131,8,1.2131
metric_tons_wet,1959,SEAK_Pink salmon,SEAK,Pink,salmon,15304,8,1.5304
metric_tons_wet,1959,BCWC_Pink salmon,BCWC,Pink,salmon,6460,8,0.646
metric_tons_wet,1959,Bering Sea_Chum salmon,BeringSea,Chum,salmon,12766,8,1.2766
metric_tons_wet,1959,Central AK_Chum salmon,CentralAK,Chum,salmon,8793,8,0.8793
metric_tons_wet,1959,SEAK_Chum salmon,SEAK,Chum,salmon,6526,8,0.6526
metric_tons_wet,1959,BCWC_Chum salmon,BCWC,Chum,salmon,17367,8,1.7367
metric_tons_wet,1959,Bering Sea_Sockeye salmon,BeringSea,Sockeye,salmon,21588,8,2.1588
metric_tons_wet,1959,Central AK_Sockeye salmon,CentralAK,Sockeye,salmon,6125,8,0.6125
metric_tons_wet,1959,SEAK_Sockeye salmon,SEAK,Sockeye,salmon,1771,8,0.1771
metric_tons_wet,1959,BCWC_Sockeye salmon,BCWC,Sockeye,salmon,19391,8,1.9391
metric_tons_wet,1960,Bering Sea_Pink salmon,BeringSea,Pink,salmon,6576,9,0.6576
metric_tons_wet,1960,Central AK_Pink salmon,CentralAK,Pink,salmon,14279,9,1.4279
metric_tons_wet,1960,SEAK_Pink salmon,SEAK,Pink,salmon,7178,9,0.7178
metric_tons_wet,1960,BCWC_Pink salmon,BCWC,Pink,salmon,9734,9,0.9734
metric_tons_wet,1960,Bering Sea_Chum salmon,BeringSea,Chum,salmon,13303,9,1.3303
metric_tons_wet,1960,Central AK_Chum salmon,CentralAK,Chum,salmon,7747,9,0.7747
metric_tons_wet,1960,SEAK_Chum salmon,SEAK,Chum,salmon,4400,9,0.44
metric_tons_wet,1960,BCWC_Chum salmon,BCWC,Chum,salmon,13783,9,1.3783
metric_tons_wet,1960,Bering Sea_Sockeye salmon,BeringSea,Sockeye,salmon,50490,9,5.049
metric_tons_wet,1960,Central AK_Sockeye salmon,CentralAK,Sockeye,salmon,6388,9,0.6388
metric_tons_wet,1960,SEAK_Sockeye salmon,SEAK,Sockeye,salmon,1620,9,0.162
metric_tons_wet,1960,BCWC_Sockeye salmon,BCWC,Sockeye,salmon,14717,9,1.4717
metric_tons_wet,1961,Bering Sea_Pink salmon,BeringSea,Pink,salmon,459,10,0.0459
metric_tons_wet,1961,Central AK_Pink salmon,CentralAK,Pink,salmon,21665,10,2.1665
metric_tons_wet,1961,SEAK_Pink salmon,SEAK,Pink,salmon,7644,10,0.7644
metric_tons_wet,1961,BCWC_Pink salmon,BCWC,Pink,salmon,33196,10,3.3196
metric_tons_wet,1961,Bering Sea_Chum salmon,BeringSea,Chum,salmon,11261,10,1.1261
