location,Chinook,Chum,Coho,Pink,Sockeye,Total
BCWC,10740.400166521793,31534.880075254725,5277.98610628563,26495.053803492166,21437.72914293497,99011.10387268805
BeringSea,3971.482161170276,19171.425032415813,1256.188897848924,3875.8502696607247,33274.08969758445,62294.28490611941
CentralAK,796.4715129440999,10044.891274444291,3849.743221801853,28872.516915329994,15054.921429859347,59173.34396188968
SEAK,676.9330747573758,10667.2159988891,3644.8643432102317,53281.216758030336,1853.1101352663802,72406.86594138373
Total,16185.286915393544,71418.41238100393,14028.782569146639,112524.63774651322,71619.85040564515,292885.59868208086
