chemical,type,Chinook,Chum,Coho,Pink,Sockeye
N,Nutrients,252.37159294075593,126.24705468508274,108.42908196795217,52.59630314552479,88.37314247360693
P,Nutrients,28.0716972928585,14.042662495959046,12.0607407960587,5.850371206283874,9.829886460003099
DHA,Nutrients,60.60336094195527,32.61834000728095,29.00033719563251,9.989220870197352,29.472980755195106
EPA,Nutrients,59.216770310479916,26.301866825549425,25.08878817081098,5.87061824425711,18.689114611413533
Hg,Contaminants,3.9391598406270735e-4,1.2282559190250007e-4,1.1233214503751602e-4,2.0293149173785927e-5,8.659699055652542e-5
DDTs,Contaminants,1.1636027466223441e-4,1.112969615278486e-5,3.6563206927738496e-5,4.624108827543536e-6,2.7735089157841264e-5
PBDEs,Contaminants,3.2779609196550714e-5,1.9660313089003007e-6,2.0819371339937563e-6,1.389208141903404e-6,1.8851475086105444e-6
PCBs,Contaminants,1.4654063763030854e-4,1.6288778641535882e-5,4.7045748745541304e-5,6.216247442608184e-6,1.5097819200002009e-5
