chemical,Chinook,Chum,Coho,Pink,Sockeye
N,32606.07134490439,32606.07134490439,32606.07134490439,32606.07134490439,32606.07134490439
P,3580.8617667150083,3580.8617667150083,3580.8617667150083,3580.8617667150083,3580.8617667150083
DHA,6821.824209029774,6634.198632590075,7095.938493197755,5717.6614069714,10165.175410276233
EPA,6611.72386204454,5404.459494093264,5997.856859716366,3303.899028513306,6411.788509791713
Hg,0.05103609128462856,0.03152437664493099,0.033225847902212516,0.012081204295246027,0.03168672066049779
DDTs,0.014909419824223346,0.0027302723309622695,0.01069776906285285,0.002687968326892865,0.010003287139544802
PBDEs,0.0036175936419896547,3.53773697948534e-4,4.336643964832255e-4,5.812477261064623e-4,5.553536079722872e-4
PCBs,0.017147015565554983,0.0035569904950004715,0.012699289551895362,0.002911328726143891,0.004969501219974201
