"","year","mean","sd","median","low95CI","high95CI","measure","units"
"1",2000,4.02461347477569,4.09968653964464,2.93629340139808,0.447769465505115,12.9133898028935,"pcb","Kilograms"
"2",2001,4.05174883320319,4.11647495698551,2.96426147921678,0.453328117467561,12.9978508415259,"pcb","Kilograms"
"3",2002,4.14043774918122,4.2086932341406,3.02424366726822,0.462889355150871,13.333394860213,"pcb","Kilograms"
"4",2003,4.20104332278196,4.26483545808912,3.07477011944215,0.470708843588536,13.4727704632219,"pcb","Kilograms"
"5",2004,4.12927432950559,4.20010774206467,3.01466281718914,0.460844624020326,13.2506768071141,"pcb","Kilograms"
"6",2005,3.95488184130351,4.03070312699787,2.88633764102536,0.439569946743824,12.6551072290755,"pcb","Kilograms"
"7",2006,3.71255459689584,3.77515795661151,2.71782761201767,0.414471055888902,11.8300153785938,"pcb","Kilograms"
"8",2007,3.46313877051985,3.52656341359952,2.53291073167666,0.386412967451302,11.1153414894504,"pcb","Kilograms"
"9",2008,3.30051086898067,3.35534689439538,2.41657820226758,0.370850811943987,10.5703079270695,"pcb","Kilograms"
"10",2009,3.33553437712306,3.38671166524419,2.44904855797716,0.375280141625998,10.6702770200067,"pcb","Kilograms"
"11",2010,3.42199669004439,3.47600787044367,2.50893731883128,0.38428536998203,10.9394350378229,"pcb","Kilograms"
"12",2011,3.54989137672754,3.60963350797244,2.59582244032137,0.39645047326718,11.3423900469554,"pcb","Kilograms"
"13",2012,3.6058756704053,3.66745347272773,2.63761540881343,0.402541200687616,11.5347075323499,"pcb","Kilograms"
"14",2013,3.75542191797715,3.8275330563174,2.73673128193896,0.41755509835634,12.1215110815826,"pcb","Kilograms"
"15",2014,3.77548166305992,3.83906248981816,2.76504409277777,0.422225024284743,12.1035679226506,"pcb","Kilograms"
"16",2015,3.83359302889922,3.89791860257765,2.80885727544287,0.430636216815692,12.2901960576871,"pcb","Kilograms"
