"","year","mean","sd","median","low95CI","high95CI","measure","units"
"1",2000,18455.6564992966,5229.10161461334,17894.0773067968,10572.6296111583,31135.2060111161,"lipids","metric tons"
"2",2001,18551.3470956744,5230.81280887856,17949.892469016,10607.3033924563,31250.2308495821,"lipids","metric tons"
"3",2002,19143.1606447923,5408.59328552643,18544.0362737213,10928.9979929459,32267.0633277987,"lipids","metric tons"
"4",2003,19203.4373572497,5406.13327180161,18582.8468443133,10986.9190515986,32275.7316581207,"lipids","metric tons"
"5",2004,19029.2331122773,5375.22498488863,18406.0051816532,10908.8243628586,32085.881562481,"lipids","metric tons"
"6",2005,18290.0769039982,5176.83687479484,17699.6368850718,10513.2957865425,30892.6674569438,"lipids","metric tons"
"7",2006,16835.7761660258,4742.40723553527,16295.6096673677,9677.70682351966,28332.2819855458,"lipids","metric tons"
"8",2007,15747.5450200824,4462.90423895199,15254.0523822224,9023.48484456077,26554.5435366948,"lipids","metric tons"
"9",2008,14855.8578772343,4196.07057705673,14386.4660164354,8544.40824234636,25003.4737399148,"lipids","metric tons"
"10",2009,14963.5124122386,4215.89772443101,14489.8781849892,8640.08115663322,25192.1032210455,"lipids","metric tons"
"11",2010,15400.1757076976,4339.58257088238,14905.8632381017,8884.84790378197,25921.1646767864,"lipids","metric tons"
"12",2011,16090.5420444103,4539.26265065348,15563.6220351463,9259.87534380779,27118.2524099083,"lipids","metric tons"
"13",2012,16374.9554114007,4623.18505454285,15832.6910277242,9416.42375893068,27588.0825895658,"lipids","metric tons"
"14",2013,17353.4500421044,4932.87440675588,16835.1968317233,9894.13885706318,29312.5956829654,"lipids","metric tons"
"15",2014,17159.0391435527,4846.86285936781,16610.0812228252,9858.14085309525,28883.8103405388,"lipids","metric tons"
"16",2015,17330.7676273478,4896.61912697984,16795.1241699095,9951.55765579919,29129.6291456925,"lipids","metric tons"
