Year,pink_Bering Sea,pink_Central AK,pink_SEAK,pink_BC/WC,chum_Bering Sea,chum_Central AK,chum_SEAK,chum_BC/WC,sockeye_Bering Sea,sockeye_Central AK,sockeye_SEAK/BC/WC
1952,4,7,10,3.7,3.9,2.1,2.3,3,12.9,1.9,6.7
1953,0.3,7.1,6.5,8.3,3.9,2.1,2.2,2.3,5.7,1.5,6.7
1954,3.9,10.8,9.4,6.4,4.1,2.9,2.3,2.4,4.7,2.1,8
1955,0.3,10.5,9.7,5.1,3.7,2.2,1.6,1.8,2.5,1.9,5.2
1956,3.9,7.9,12.5,4.5,4,2.5,2,1.9,13.5,2.3,5.3
1957,0.3,4.8,8,3.4,3.9,2.9,2.2,3.8,7.1,2.1,4.1
1958,2.9,6.7,10.1,3.3,4,2.2,2,2.8,3.9,1.9,6.9
1959,0.3,7.6,8.7,2.8,4.1,2.5,1.5,3.3,9.1,2,8.5
1960,3.7,9.7,4.7,4.8,4.6,2.5,1,2.7,23.5,2.2,6.6
1961,0.2,10.7,3.2,11.1,3.6,1.9,1.2,2.5,7.4,2.2,7.6
1962,2.3,12.2,6.5,14.3,3.8,2.9,1.3,2.9,7,2.6,7.1
1963,0.3,9,11.2,7.9,3,2.3,1.1,3.5,4.9,2.4,9.1
1964,2.1,15.5,7.8,8.5,3.6,3.3,1.1,4.5,5.8,2.3,6.4
1965,0.1,6.4,6.9,18,3.2,1.6,1.2,2.2,30.7,2,4
1966,3.2,11.5,9.5,7.8,3.2,2.4,1.7,4.5,10,2.7,5.7
1967,0.2,4.5,3.1,14.6,3,1.5,2.3,3.2,7.2,2.5,4.9
1968,6.6,11.1,8.3,15.4,3.3,2.3,1.3,5.8,5.8,2.6,11.4
1969,0.4,6.9,6.4,11.2,3.1,1.1,0.9,3.7,14.7,2,4
1970,1.3,8.9,7.3,7.5,4.2,1.9,2.1,6.2,20.4,1.9,6.6
1971,0.1,6.5,9.4,4.3,3.6,2,2.4,3.1,8.3,2.6,23
