year,chemical,type,units,panel,location,median,low75,high75,low50,high50
1976,N,Nutrients,MT_yr,a) N,BCWC,2164.2856304912157,1855.5701639263239,2546.247711438064,1985.2324346454575,2367.033358948509
1976,N,Nutrients,MT_yr,a) N,SEAK,1646.8990399662493,1377.3067174530363,1981.941786680404,1476.9937501681811,1833.9043161327918
1976,N,Nutrients,MT_yr,a) N,CAK,1553.3902806455662,1334.9793118321306,1832.268416654342,1421.8547079215855,1710.944357074089
1976,N,Nutrients,MT_yr,a) N,BS,2203.2390233389697,1860.0264617211105,2619.649408023105,1974.9315400924706,2451.2594423881937
1976,P,Nutrients,MT_yr,b) P,BCWC,243.89365481503964,198.53038540443285,294.314685918363,217.28178534121457,268.4097832225158
1976,P,Nutrients,MT_yr,b) P,SEAK,181.96495564572223,147.4500177665675,232.21683262221424,159.08585394115778,210.375665123391
1976,P,Nutrients,MT_yr,b) P,CAK,175.19845865756162,140.72633244138578,214.67927673042988,153.8783178734784,195.2356611944324
1976,P,Nutrients,MT_yr,b) P,BS,244.93970153407565,195.81238769526124,301.8469222324233,217.03896260931123,278.1125823345355
1976,DHA,Nutrients,MT_yr,c) DHA,BCWC,556.3754990425866,401.14584792154415,818.1809817593963,463.0221820961361,690.3946848602266
1976,DHA,Nutrients,MT_yr,c) DHA,SEAK,349.7656292172499,239.43966697223797,529.6266346682897,288.75350048837254,434.3777674589418
1976,DHA,Nutrients,MT_yr,c) DHA,CAK,385.1841368821974,266.97201659639586,552.4797238207742,318.8108666190883,470.4911115075655
1976,DHA,Nutrients,MT_yr,c) DHA,BS,647.3457841213938,440.374078544892,975.6288675789528,521.2434476611468,800.8550193952865
1976,EPA,Nutrients,MT_yr,d) EPA,BCWC,384.03515417794756,276.0514181086315,598.5543048099207,316.992403000568,479.01969019206626
1976,EPA,Nutrients,MT_yr,d) EPA,SEAK,225.54508890213265,151.6418694693648,343.9423129169874,173.58863389988227,290.45052902059297
1976,EPA,Nutrients,MT_yr,d) EPA,CAK,245.8357265298601,171.35693817368804,357.5307133371059,195.01672217007587,309.02312832035057
1976,EPA,Nutrients,MT_yr,d) EPA,BS,421.3623808474007,286.3277842500315,628.1111866665457,334.19967444295554,528.2259789650604
1976,Hg,Contaminants,kg_yr,i) Hg,BCWC,2.000695528138339,1.4326297670568142,2.5185234431778847,1.6755775157868311,2.3027066284813045
1976,Hg,Contaminants,kg_yr,i) Hg,SEAK,0.9578067247876338,0.691127725636801,1.2917252787231301,0.8013503125492145,1.152006820973249
1976,Hg,Contaminants,kg_yr,i) Hg,CAK,1.1096737823384066,0.8303950428621814,1.4474585589719808,0.9381980989739882,1.2860778378419169
1976,Hg,Contaminants,kg_yr,i) Hg,BS,2.1430972016880103,1.5578231085981897,2.793206658881605,1.7673487931204446,2.533727093610322
1976,DDTs,Contaminants,kg_yr,k) DDTs,BCWC,0.425537121338632,0.30048557030049927,0.571989809793414,0.356230315537438,0.510359352085582
1976,DDTs,Contaminants,kg_yr,k) DDTs,SEAK,0.17312645745212346,0.12146687747764828,0.2544741058114215,0.14210049633531993,0.21537451927850768
1976,DDTs,Contaminants,kg_yr,k) DDTs,CAK,0.2355951197899177,0.16343929994830353,0.3286019351440145,0.18993300008972155,0.28601971440630897
1976,DDTs,Contaminants,kg_yr,k) DDTs,BS,0.5351272373051663,0.36789983142332655,0.7431414130154173,0.4263802641430512,0.6502649645132996
