year,chemical,type,units,panel,location,median,low75,high75,low50,high50
1976,PBDEs,Contaminants,kg_yr,l) PBDEs,BCWC,0.05777034968907753,0.03090820657004662,0.10232278461031365,0.04110594138676775,0.07870143901232673
1976,PBDEs,Contaminants,kg_yr,l) PBDEs,SEAK,0.030805082149578174,0.014207384903147251,0.07421997412020356,0.019051246563085926,0.048528511356406366
1976,PBDEs,Contaminants,kg_yr,l) PBDEs,CAK,0.029876358091884367,0.015589669672910974,0.061740966954692715,0.020617273623167856,0.04473469351661135
1976,PBDEs,Contaminants,kg_yr,l) PBDEs,BS,0.053458594616928506,0.03125830361474393,0.09192861154611162,0.03881947305993767,0.07234696852978324
1976,PCBs,Contaminants,kg_yr,j) PCBs,BCWC,0.4257114254185258,0.2572637878512986,0.725667401558592,0.3083349708280046,0.5813532954539841
1976,PCBs,Contaminants,kg_yr,j) PCBs,SEAK,0.20376752490133765,0.11521605052635843,0.3824152256704798,0.14303154741574764,0.3019121347130971
1976,PCBs,Contaminants,kg_yr,j) PCBs,CAK,0.21845086203708158,0.13334759384806924,0.39331705130365824,0.15742891032727963,0.31939234579303355
1976,PCBs,Contaminants,kg_yr,j) PCBs,BS,0.40251578858325154,0.2310615470365378,0.6897658698519752,0.2902727706384699,0.566919334356872
1977,N,Nutrients,MT_yr,a) N,BCWC,2212.6121487526943,1916.1327833505893,2580.556477416949,2043.0551073921238,2418.405998925764
1977,N,Nutrients,MT_yr,a) N,SEAK,1610.4867925586523,1366.9471093305438,1912.0980394109833,1459.684808134024,1765.7100804051493
1977,N,Nutrients,MT_yr,a) N,CAK,1570.1837922390887,1366.9995898615937,1829.0316709900235,1440.2666182020669,1714.6424522827892
1977,N,Nutrients,MT_yr,a) N,BS,2192.620551812518,1865.9675596412865,2589.8352149462607,1983.421497962611,2441.123156236426
1977,P,Nutrients,MT_yr,b) P,BCWC,249.31673314965775,204.00112828637555,300.0626704801145,222.08257554607013,273.91347790356843
1977,P,Nutrients,MT_yr,b) P,SEAK,178.6474642533771,145.69065541549924,222.87048258442215,157.16464874876542,205.32350131062123
1977,P,Nutrients,MT_yr,b) P,CAK,177.00413665433655,142.6449161157093,213.87197711532636,156.483851071684,196.2514779095618
1977,P,Nutrients,MT_yr,b) P,BS,245.01706177196257,198.6601304125204,297.6812546611533,216.2506659482362,275.1501230510797
1977,DHA,Nutrients,MT_yr,c) DHA,BCWC,569.941827697307,407.86061053735193,837.1575929603594,474.0290026943578,707.685647987822
1977,DHA,Nutrients,MT_yr,c) DHA,SEAK,342.8350507586918,235.28015458903621,513.9153374710695,282.0557289741465,420.25765598652123
1977,DHA,Nutrients,MT_yr,c) DHA,CAK,390.4778076732186,270.917749818119,555.6191235448581,324.0913858767221,476.4136508877804
1977,DHA,Nutrients,MT_yr,c) DHA,BS,646.3939156232525,442.1391616979885,977.9882068321799,523.7612625363374,794.6116615021966
1977,EPA,Nutrients,MT_yr,d) EPA,BCWC,394.07852550867676,285.60715535084626,613.5538318475086,323.64008539740405,487.4909808288911
1977,EPA,Nutrients,MT_yr,d) EPA,SEAK,218.8013713201844,148.92519585726075,332.36147627517977,171.8001005800074,281.1958922310681
1977,EPA,Nutrients,MT_yr,d) EPA,CAK,248.99877186678765,174.78506765862195,364.318951625618,199.297265692884,309.72419678092507
1977,EPA,Nutrients,MT_yr,d) EPA,BS,419.85533690040745,289.07545132874924,623.155820345542,337.1243871408747,525.33865029086
1977,Hg,Contaminants,kg_yr,i) Hg,BCWC,2.051093785161626,1.4804382706731896,2.5687582960476045,1.7084455955979367,2.3393282358013043
1977,Hg,Contaminants,kg_yr,i) Hg,SEAK,0.9195917932505289,0.6777168949367605,1.2450208322424636,0.7727330895721418,1.092740767353426
1977,Hg,Contaminants,kg_yr,i) Hg,CAK,1.1217579903021861,0.8420436191271592,1.4694182961897773,0.9547467703558558,1.3045920291441864
1977,Hg,Contaminants,kg_yr,i) Hg,BS,2.156085199498934,1.5759057918036528,2.767488888275601,1.7940579757025374,2.5358926886427877
1977,DDTs,Contaminants,kg_yr,k) DDTs,BCWC,0.43534087739824096,0.30228945345489877,0.5784374159453634,0.3659199942500847,0.5180308726879868
1977,DDTs,Contaminants,kg_yr,k) DDTs,SEAK,0.17166080657598426,0.11954182646574774,0.2523196118964629,0.14039658909602942,0.21153471816598496
1977,DDTs,Contaminants,kg_yr,k) DDTs,CAK,0.24062331635279666,0.1669634432561541,0.33253887530892307,0.19265078923461293,0.2899160139635242
1977,DDTs,Contaminants,kg_yr,k) DDTs,BS,0.5342991532043603,0.36319172279766143,0.743269595798421,0.4321933935608777,0.6503353334670905
1977,PBDEs,Contaminants,kg_yr,l) PBDEs,BCWC,0.05945404621423164,0.03183404357902952,0.10383832734522502,0.04205068526010279,0.08040986322294293
1977,PBDEs,Contaminants,kg_yr,l) PBDEs,SEAK,0.030421989006841253,0.014096105408648522,0.07474250504203958,0.019114352906337288,0.04880644149456605
1977,PBDEs,Contaminants,kg_yr,l) PBDEs,CAK,0.030300849947313163,0.01575273862449287,0.06262229751482402,0.02093260597816543,0.0448350902431148
1977,PBDEs,Contaminants,kg_yr,l) PBDEs,BS,0.05375431551687408,0.031358875365152375,0.09217216463674544,0.03944008149826281,0.07150070721823518
1977,PCBs,Contaminants,kg_yr,j) PCBs,BCWC,0.4337624360248476,0.26043911498502037,0.739759186867808,0.3139990754326191,0.5989453237102618
1977,PCBs,Contaminants,kg_yr,j) PCBs,SEAK,0.20042263946913141,0.11160328650214114,0.37149035883246606,0.1409411443870125,0.2969543913031998
1977,PCBs,Contaminants,kg_yr,j) PCBs,CAK,0.22484814431317768,0.13537065690904987,0.40186540532324627,0.16199982245281794,0.3237348010729276
1977,PCBs,Contaminants,kg_yr,j) PCBs,BS,0.4031435394119435,0.232495196986561,0.6874474711136318,0.29227137933230307,0.5708129166441221
1978,N,Nutrients,MT_yr,a) N,BCWC,2266.740017212057,1984.6628944991921,2609.92706206229,2103.696352635961,2460.0047240121603
1978,N,Nutrients,MT_yr,a) N,SEAK,1604.4820238381785,1366.8984534386077,1864.37050302987,1452.8067230627053,1746.7299721321988
1978,N,Nutrients,MT_yr,a) N,CAK,1587.358752192149,1388.7385067327666,1842.6899615639386,1471.0353757807502,1734.9106613372874
1978,N,Nutrients,MT_yr,a) N,BS,2197.561299039161,1879.0194762622082,2558.3614435837444,1994.249050968058,2427.6945534217753
1978,P,Nutrients,MT_yr,b) P,BCWC,254.80655954567396,207.72715910043894,304.771960694064,227.20604340359924,280.5398423934434
1978,P,Nutrients,MT_yr,b) P,SEAK,176.4066358615495,146.11462898189473,217.64342829135865,155.94597546781188,202.33443375405557
1978,P,Nutrients,MT_yr,b) P,CAK,178.54533361274252,145.21082916184875,216.10037573795725,158.85394458745364,198.64228800654985
1978,P,Nutrients,MT_yr,b) P,BS,245.08113528946092,200.93441830085737,295.93223984652354,216.9077052518489,273.7260138292204
1978,DHA,Nutrients,MT_yr,c) DHA,BCWC,584.7650057612652,419.76493124318444,857.060002006592,486.1914342341755,723.6615174177734
1978,DHA,Nutrients,MT_yr,c) DHA,SEAK,340.01797526352067,232.67048215505596,508.78001922055216,280.3298065540529,412.46605066553803
1978,DHA,Nutrients,MT_yr,c) DHA,CAK,392.4527881654889,278.49121581177394,563.0918727976889,327.5893340800715,479.41496459678945
1978,DHA,Nutrients,MT_yr,c) DHA,BS,645.5331434328218,447.8726488680528,981.4450609892842,524.4398802443784,791.4758350655657
1978,EPA,Nutrients,MT_yr,d) EPA,BCWC,401.91429487993526,292.8639344468371,627.2332302443376,333.36901638000023,500.6428298481999
1978,EPA,Nutrients,MT_yr,d) EPA,SEAK,215.5272583644606,145.88664481597783,315.2162659487434,168.3656479561914,275.9274763885672
1978,EPA,Nutrients,MT_yr,d) EPA,CAK,249.58722717816698,177.38286292160385,371.9685478051212,202.9708886172371,316.2057659445266
1978,EPA,Nutrients,MT_yr,d) EPA,BS,420.5505518173923,288.8678704336493,625.8588084659926,340.41403340508316,523.2541096840657
1978,Hg,Contaminants,kg_yr,i) Hg,BCWC,2.0952011179925254,1.530490899250943,2.610456446699851,1.753379457070496,2.3945976872417907
1978,Hg,Contaminants,kg_yr,i) Hg,SEAK,0.8997141657244196,0.660468307805137,1.1976289390994852,0.7447665919728024,1.052623166945976
1978,Hg,Contaminants,kg_yr,i) Hg,CAK,1.140039401547552,0.8461765938236245,1.4864073700091747,0.9622569512824604,1.3182083934771716
1978,Hg,Contaminants,kg_yr,i) Hg,BS,2.1526110291993126,1.606015717401256,2.7545480578976855,1.8089513131064492,2.5118827477278582
1978,DDTs,Contaminants,kg_yr,k) DDTs,BCWC,0.44723939319662,0.30941021745542924,0.5873759143699678,0.37205151210027776,0.5267441864697415
1978,DDTs,Contaminants,kg_yr,k) DDTs,SEAK,0.17170292170261306,0.11995839821435203,0.252113611694628,0.14004694579980068,0.21242213883087974
1978,DDTs,Contaminants,kg_yr,k) DDTs,CAK,0.24608646052354,0.1711698601484209,0.3368361021261329,0.19779889120653835,0.29439325034755187
1978,DDTs,Contaminants,kg_yr,k) DDTs,BS,0.5339403423826623,0.36898988192615523,0.7370758195597773,0.4372262730192895,0.6474586170912868
1978,PBDEs,Contaminants,kg_yr,l) PBDEs,BCWC,0.06083567788964802,0.033218520709104,0.1063207503991207,0.043019471206829675,0.08271454397925453
1978,PBDEs,Contaminants,kg_yr,l) PBDEs,SEAK,0.030484881500374175,0.014017051253377844,0.07445667926819666,0.01945943589664185,0.048690926600492804
1978,PBDEs,Contaminants,kg_yr,l) PBDEs,CAK,0.030496311745588082,0.015896075252220754,0.06462985820057346,0.021239750501955583,0.0459399040345881
1978,PBDEs,Contaminants,kg_yr,l) PBDEs,BS,0.05357182208944497,0.0311317161880477,0.09175601137152715,0.03899024198372393,0.07053087166766558
1978,PCBs,Contaminants,kg_yr,j) PCBs,BCWC,0.4451046416889435,0.26303218143366647,0.7394930862581977,0.31923901815026656,0.6134222932433249
1978,PCBs,Contaminants,kg_yr,j) PCBs,SEAK,0.20158567470510136,0.10982054123670193,0.3728209154198105,0.13893790968239378,0.2961606030262698
1978,PCBs,Contaminants,kg_yr,j) PCBs,CAK,0.23109333654087816,0.13758099198499665,0.4086089072727848,0.1669633115869075,0.33161189625553955
1978,PCBs,Contaminants,kg_yr,j) PCBs,BS,0.40298523165918904,0.23352909392095592,0.6856340970258825,0.29335730177346575,0.5700264618338728
1979,N,Nutrients,MT_yr,a) N,BCWC,2323.693470952593,2047.5882954273648,2650.913808869732,2160.7312564139684,2506.066589194974
1979,N,Nutrients,MT_yr,a) N,SEAK,1598.113571394106,1373.235774352609,1851.7511630957288,1455.417680078677,1743.9209854503729
1979,N,Nutrients,MT_yr,a) N,CAK,1606.944193691332,1410.5870074922896,1856.2012759386682,1494.249659566318,1747.5349361479243
1979,N,Nutrients,MT_yr,a) N,BS,2198.335637117942,1887.7469444003834,2534.7038074602833,2003.2812462934307,2398.3440920875487
1979,P,Nutrients,MT_yr,b) P,BCWC,260.49570121389957,213.795061456143,312.0896183007209,232.4672424720028,287.6288468236614
1979,P,Nutrients,MT_yr,b) P,SEAK,177.1017053812398,146.12734860980933,217.1748764209769,156.08145271825867,201.6265579115529
1979,P,Nutrients,MT_yr,b) P,CAK,179.92750375164013,147.65032537271185,216.24415087893487,161.7227597900537,200.48381597913186
1979,P,Nutrients,MT_yr,b) P,BS,244.61126923935137,202.3280748900455,293.92442906009546,217.04898804571835,272.67026054857695
1979,DHA,Nutrients,MT_yr,c) DHA,BCWC,600.8690297833491,430.40979163553493,878.1310287230093,499.7585009271919,737.68480294646
1979,DHA,Nutrients,MT_yr,c) DHA,SEAK,336.952383100635,232.9988319680952,510.2526668455914,278.38003043516653,410.3585338462902
1979,DHA,Nutrients,MT_yr,c) DHA,CAK,398.8332560604516,287.53749106498873,569.5356988615797,331.2854480206655,484.23097954494824
1979,DHA,Nutrients,MT_yr,c) DHA,BS,645.2005971474816,453.08956447604186,978.7079921649629,527.1008524570616,793.2390266109603
1979,EPA,Nutrients,MT_yr,d) EPA,BCWC,411.3579736811388,299.45473283899014,642.3751176177782,340.73807857155464,511.6889309847551
1979,EPA,Nutrients,MT_yr,d) EPA,SEAK,213.24892195133663,144.82105210520848,311.790478048815,166.2979612635834,268.857657001572
1979,EPA,Nutrients,MT_yr,d) EPA,CAK,252.82594540068067,179.91538911056801,377.7627800058068,206.39970532272173,319.06365048613577
1979,EPA,Nutrients,MT_yr,d) EPA,BS,419.74389355171684,291.7994920891996,632.2264156920448,343.654024477637,524.7154253424419
1979,Hg,Contaminants,kg_yr,i) Hg,BCWC,2.133222340204404,1.5698749892669532,2.6703477975308205,1.8101598642084749,2.4510063114542695
1979,Hg,Contaminants,kg_yr,i) Hg,SEAK,0.8894914909579589,0.6512095421670256,1.1823038591330637,0.7321627807545992,1.034383768320389
1979,Hg,Contaminants,kg_yr,i) Hg,CAK,1.1620716008801937,0.8569765724274233,1.5053382587457766,0.9758329447715663,1.3303526907999341
1979,Hg,Contaminants,kg_yr,i) Hg,BS,2.1511479801217313,1.605939463459269,2.7699585586878683,1.8020191090255262,2.5024335066961165
1979,DDTs,Contaminants,kg_yr,k) DDTs,BCWC,0.45997159405444044,0.315754573699565,0.5988563699263143,0.3801976966873002,0.5387800964848606
1979,DDTs,Contaminants,kg_yr,k) DDTs,SEAK,0.17363258842112939,0.12055755523124892,0.2543717345641748,0.14016471576014095,0.21366241907223002
1979,DDTs,Contaminants,kg_yr,k) DDTs,CAK,0.2519624573386904,0.17548400085524155,0.3445584280354236,0.2042567383003309,0.3013493404822856
1979,DDTs,Contaminants,kg_yr,k) DDTs,BS,0.5379302546781842,0.37244385829332166,0.7357380605957085,0.4402459956992411,0.6437995563689517
1979,PBDEs,Contaminants,kg_yr,l) PBDEs,BCWC,0.06262095423082081,0.03384039017776458,0.1087697394390555,0.04481666808490484,0.08517967753277196
1979,PBDEs,Contaminants,kg_yr,l) PBDEs,SEAK,0.030837204924337384,0.013941378541361326,0.07539469837263824,0.019130677544221784,0.049210155163302585
1979,PBDEs,Contaminants,kg_yr,l) PBDEs,CAK,0.030830048730902768,0.01614555191465857,0.06426494439815514,0.021564778698808847,0.0473546509618272
1979,PBDEs,Contaminants,kg_yr,l) PBDEs,BS,0.053263981444203065,0.031223410303650237,0.09000647448420385,0.03871611052812406,0.07006798886491292
1979,PCBs,Contaminants,kg_yr,j) PCBs,BCWC,0.4532700401847341,0.26715326803605743,0.7570365193059445,0.32558460403806894,0.6282721023774819
1979,PCBs,Contaminants,kg_yr,j) PCBs,SEAK,0.2019715405961235,0.11086973066829364,0.37804597050208616,0.13787125375473386,0.30061681679021535
1979,PCBs,Contaminants,kg_yr,j) PCBs,CAK,0.23678604516171395,0.14150046838624836,0.41832117570007926,0.17342129946187573,0.33873744106119685
1979,PCBs,Contaminants,kg_yr,j) PCBs,BS,0.4053786403726163,0.23604285029426741,0.6866470492780372,0.2941174189860724,0.573431940285521
1980,N,Nutrients,MT_yr,a) N,BCWC,2381.4268646114533,2116.020531059244,2725.089449287328,2229.3734276481605,2581.642626356056
1980,N,Nutrients,MT_yr,a) N,SEAK,1610.934245152145,1396.2762610097952,1881.4418620655729,1473.5439548642084,1778.6715115689212
1980,N,Nutrients,MT_yr,a) N,CAK,1630.2730193277866,1438.2844005421507,1858.8029731959668,1520.54260164054,1772.5079816527084
1980,N,Nutrients,MT_yr,a) N,BS,2197.4460104039044,1881.635244809818,2510.8468360081197,2001.1819366709606,2386.264042294298
1980,P,Nutrients,MT_yr,b) P,BCWC,267.6411642809072,221.68295015284787,320.4919681767348,238.93395328808114,296.2956679409656
1980,P,Nutrients,MT_yr,b) P,SEAK,179.13308120090613,147.26075903678586,217.8675739778168,158.27302171198852,203.6154792971501
1980,P,Nutrients,MT_yr,b) P,CAK,181.95061674539306,149.44448466833393,217.5983015995016,164.0639715926598,203.1750632386895
1980,P,Nutrients,MT_yr,b) P,BS,245.49505029563875,201.31828255720336,292.28106867792667,217.23357829538213,270.8833160250624
1980,DHA,Nutrients,MT_yr,c) DHA,BCWC,615.5214033915927,441.0426805359375,885.0974740711376,516.0404687655817,752.2820232851914
1980,DHA,Nutrients,MT_yr,c) DHA,SEAK,339.393044217961,234.6596175028585,513.8388824441113,281.61050435509895,412.37428886136314
1980,DHA,Nutrients,MT_yr,c) DHA,CAK,404.2341765862127,291.77453945139587,574.373583736015,336.4079900666489,490.19896394609026
1980,DHA,Nutrients,MT_yr,c) DHA,BS,645.6499571481131,451.29024837776046,980.786165951447,523.6581410996481,794.2129865234151
1980,EPA,Nutrients,MT_yr,d) EPA,BCWC,422.4740447452155,307.5318143980411,658.3504311957358,350.0825683421075,525.3198267344617
1980,EPA,Nutrients,MT_yr,d) EPA,SEAK,214.6138807033371,145.23574813258926,315.6685921092263,168.8535527633274,268.7755111651975
1980,EPA,Nutrients,MT_yr,d) EPA,CAK,258.18479650331864,183.79148399070158,380.520093198121,210.94020083203168,324.43791013095273
1980,EPA,Nutrients,MT_yr,d) EPA,BS,419.6925388130012,293.2175916812589,629.9332673667893,345.972126701056,521.9046759520029
1980,Hg,Contaminants,kg_yr,i) Hg,BCWC,2.1777587531819105,1.6076248408709477,2.738648234828463,1.848510456107962,2.512004884805523
1980,Hg,Contaminants,kg_yr,i) Hg,SEAK,0.8896227730754186,0.6491066976896649,1.1771861910589076,0.7357564437509293,1.0477784871929394
1980,Hg,Contaminants,kg_yr,i) Hg,CAK,1.1821710320511225,0.8671027952513636,1.519967810425211,0.992021025501953,1.35270573614189
1980,Hg,Contaminants,kg_yr,i) Hg,BS,2.1557652246605925,1.5925840316540714,2.7679683824400705,1.8108718138934365,2.4925391917688433
1980,DDTs,Contaminants,kg_yr,k) DDTs,BCWC,0.4712035427381128,0.32404696617339385,0.61376502083787,0.3878892315489192,0.5496624286001782
1980,DDTs,Contaminants,kg_yr,k) DDTs,SEAK,0.17709577188454023,0.1225114222410855,0.2576916794742169,0.1414415484565492,0.21495834493266225
1980,DDTs,Contaminants,kg_yr,k) DDTs,CAK,0.25664685830848655,0.17888781228760053,0.3519101933260166,0.21101840375659284,0.30872787177632793
1980,DDTs,Contaminants,kg_yr,k) DDTs,BS,0.5396572980134428,0.37751308295400404,0.7333001656251568,0.4403025792140415,0.6371868009951354
1980,PBDEs,Contaminants,kg_yr,l) PBDEs,BCWC,0.06491089376083764,0.035018691774113916,0.11116092032387281,0.04596980767194761,0.0877734854876049
1980,PBDEs,Contaminants,kg_yr,l) PBDEs,SEAK,0.0314716410030184,0.014277542991638772,0.07547380563802757,0.019582206840062056,0.04970339231487464
1980,PBDEs,Contaminants,kg_yr,l) PBDEs,CAK,0.03157958016364662,0.016489679561664704,0.06424582479529166,0.021884356363937107,0.047705834443583346
1980,PBDEs,Contaminants,kg_yr,l) PBDEs,BS,0.05247938709594051,0.030718346100638953,0.0885028263692673,0.03880264920666549,0.06975112762182313
1980,PCBs,Contaminants,kg_yr,j) PCBs,BCWC,0.4685760438748988,0.2734137434998884,0.7780317619234067,0.3354842456652669,0.6436347337001074
1980,PCBs,Contaminants,kg_yr,j) PCBs,SEAK,0.20590242765917333,0.11251656430211933,0.38854214373636287,0.14013858144671154,0.30415333384462373
1980,PCBs,Contaminants,kg_yr,j) PCBs,CAK,0.24409034465909013,0.14599449473992196,0.4247797814629539,0.18009617761708285,0.34714405882263943
1980,PCBs,Contaminants,kg_yr,j) PCBs,BS,0.4076359275579686,0.23496626155997583,0.6768234067167627,0.29682648726362326,0.5696745403330008
1981,N,Nutrients,MT_yr,a) N,BCWC,2443.9042417635164,2186.9953485266574,2801.5383880560084,2295.6221595801153,2657.692616484821
1981,N,Nutrients,MT_yr,a) N,SEAK,1640.5149119233467,1417.330696940048,1911.6253373475295,1499.8518878834209,1795.6220409342427
1981,N,Nutrients,MT_yr,a) N,CAK,1661.4141025956155,1467.9145416648669,1881.6046427764331,1534.5000675894785,1792.523306996421
1981,N,Nutrients,MT_yr,a) N,BS,2180.2386895584305,1874.3435173937344,2493.7502698443095,1995.7104396827663,2369.8583454649024
1981,P,Nutrients,MT_yr,b) P,BCWC,274.58229785852075,228.78960911513667,329.4456086325682,246.20440125904662,304.44700438598784
1981,P,Nutrients,MT_yr,b) P,SEAK,181.73639012581606,150.09549024597442,222.59350165672183,161.26685254422597,206.90217957429786
1981,P,Nutrients,MT_yr,b) P,CAK,184.5624190491867,151.25582361489842,221.05975533948134,166.6011600696474,205.72756613931423
1981,P,Nutrients,MT_yr,b) P,BS,244.61547276867316,200.19316178886115,289.42567974413674,217.06724037852788,268.69329761392703
1981,DHA,Nutrients,MT_yr,c) DHA,BCWC,631.1507188420046,454.6012121769646,913.9757842183933,530.5258664069486,766.1600141151594
1981,DHA,Nutrients,MT_yr,c) DHA,SEAK,345.77380573809,240.24469084530307,517.0083023167842,287.4198365656999,417.77550440256164
1981,DHA,Nutrients,MT_yr,c) DHA,CAK,409.98152784563536,294.90812463088383,581.4372186179417,342.00624842855615,496.71792065362763
1981,DHA,Nutrients,MT_yr,c) DHA,BS,645.724505594453,452.8822788072383,978.1877135330839,523.9376923318201,790.6171364002801
1981,EPA,Nutrients,MT_yr,d) EPA,BCWC,431.10603738892326,316.7379761783602,673.6364754025768,358.2744585553144,540.8328081501562
1981,EPA,Nutrients,MT_yr,d) EPA,SEAK,217.9746837884005,148.65064883896864,323.97225414460115,172.31111001134914,270.97834885834095
1981,EPA,Nutrients,MT_yr,d) EPA,CAK,264.21155789744273,188.5298837359186,389.08566998432576,214.611610174696,330.15989291037255
1981,EPA,Nutrients,MT_yr,d) EPA,BS,417.66974035690964,294.59298344848736,625.7002900483158,346.0001645395805,522.6526865954671
1981,Hg,Contaminants,kg_yr,i) Hg,BCWC,2.2344314047658265,1.636217792482554,2.811615733318551,1.9152174417292358,2.5751017460304024
1981,Hg,Contaminants,kg_yr,i) Hg,SEAK,0.9000181266173868,0.6589428854153582,1.1910723807644763,0.747964370823897,1.0626181445418759
1981,Hg,Contaminants,kg_yr,i) Hg,CAK,1.2038642323276112,0.8807545205567341,1.531514098830833,1.0174823510452617,1.3734552345659081
1981,Hg,Contaminants,kg_yr,i) Hg,BS,2.1503888146228043,1.590811591482455,2.761968705692521,1.8136124940327885,2.4941625979332214
1981,DDTs,Contaminants,kg_yr,k) DDTs,BCWC,0.48218047398595454,0.3325598349411904,0.6311477731430921,0.39787379534667955,0.5610734097480861
1981,DDTs,Contaminants,kg_yr,k) DDTs,SEAK,0.18082737553094036,0.12499739493726666,0.25987870515566214,0.14435981161521,0.21878375882650872
1981,DDTs,Contaminants,kg_yr,k) DDTs,CAK,0.26251856929618483,0.18376653947618923,0.36045759181493753,0.21668995334995014,0.31772054392970506
1981,DDTs,Contaminants,kg_yr,k) DDTs,BS,0.5377990010556246,0.3749686081309963,0.7282658715949354,0.4386116658646966,0.6364643220954662
1981,PBDEs,Contaminants,kg_yr,l) PBDEs,BCWC,0.06742445947473075,0.03635474652550113,0.11570606150717744,0.04724557781205703,0.09071212993783902
1981,PBDEs,Contaminants,kg_yr,l) PBDEs,SEAK,0.032174914822559686,0.014621344236304703,0.07727714872330074,0.020025553729654616,0.05113791819178284
1981,PBDEs,Contaminants,kg_yr,l) PBDEs,CAK,0.032253485917997454,0.016848286994719904,0.06512364104239227,0.02226059165555768,0.04823240161267492
1981,PBDEs,Contaminants,kg_yr,l) PBDEs,BS,0.052102047017115925,0.03039039228220289,0.08814831305396954,0.03842189306624981,0.06918490695056236
1981,PCBs,Contaminants,kg_yr,j) PCBs,BCWC,0.482833199936359,0.2814311103061939,0.7932214897275232,0.34527504692769306,0.6606007464181985
1981,PCBs,Contaminants,kg_yr,j) PCBs,SEAK,0.20964529026164025,0.11501616886673216,0.3956575762735944,0.14309786515851453,0.31496712954529915
1981,PCBs,Contaminants,kg_yr,j) PCBs,CAK,0.2506827786123953,0.149550182044617,0.43495045299082125,0.18522974807098097,0.3554036752911835
1981,PCBs,Contaminants,kg_yr,j) PCBs,BS,0.4060224330796032,0.2346459160783736,0.6712186145925878,0.29642731650089094,0.5624292593889607
1982,N,Nutrients,MT_yr,a) N,BCWC,2517.6817595425987,2249.7559224808006,2880.1774993685826,2363.8035530598145,2730.492011126743
1982,N,Nutrients,MT_yr,a) N,SEAK,1679.678930304185,1451.6248977458663,1946.2289996204172,1540.121813743505,1839.8626508466807
