year,type,species,chemical,median,low75,high75,low50,high50,panel,panel_letter,measure,total,proportion
1976,Contaminants,Chinook,Hg,0.6301225425098425,0.4384296054321971,0.8523232805469093,0.5134914359104993,0.7517561610715391,i) Hg,i,total,NA,NA
1976,Contaminants,Chinook,DDTs,0.17954337348766092,0.12212369765398996,0.25292902096240333,0.14319220633828336,0.22753605945303354,k) DDTs,k,total,NA,NA
1976,Contaminants,Chinook,PBDEs,0.041864199902545036,0.020026796838661112,0.08245100015564576,0.026435629488886014,0.06826271661559596,l) PBDEs,l,total,NA,NA
1976,Contaminants,Chinook,PCBs,0.22142594648083724,0.12526378186058423,0.3908140110921884,0.1572970560461955,0.3133643070887851,j) PCBs,j,total,NA,NA
1976,Contaminants,Chum,Hg,2.0209988831277075,1.4205724987673651,2.6875818158074996,1.648842169895023,2.4388309090924274,i) Hg,i,total,NA,NA
1976,Contaminants,Chum,DDTs,0.16999833662263564,0.11363748401608244,0.2615968527158799,0.13116795088187339,0.21711800033512835,k) DDTs,k,total,NA,NA
1976,Contaminants,Chum,PBDEs,0.021921088653877735,0.009741541402638224,0.05118927364043005,0.01350230729521193,0.0348088290779547,l) PBDEs,l,total,NA,NA
1976,Contaminants,Chum,PCBs,0.24239978558243225,0.11696165967263636,0.48254243403878216,0.16375183348358197,0.361602916952494,j) PCBs,j,total,NA,NA
1976,Contaminants,Coho,Hg,0.3115506771406167,0.21884228937540567,0.43236432075382725,0.25934867260083283,0.3794925351627841,i) Hg,i,total,NA,NA
1976,Contaminants,Coho,DDTs,0.09881183895099464,0.06362713001393375,0.14269968228705626,0.07607088824342795,0.1211903607723492,k) DDTs,k,total,NA,NA
1976,Contaminants,Coho,PBDEs,0.003939598503121848,0.0016978242318587094,0.00933003589084862,0.002310630453709075,0.006305569340787303,l) PBDEs,l,total,NA,NA
1976,Contaminants,Coho,PCBs,0.12198674788516845,0.07076082879874715,0.22549264330581706,0.08850815766798391,0.17779732668658688,j) PCBs,j,total,NA,NA
1976,Contaminants,Pink,Hg,0.9582598814894303,0.6465373203110868,1.3819574381038722,0.7744128608299159,1.1915759079156214,i) Hg,i,total,NA,NA
1976,Contaminants,Pink,DDTs,0.2089822328670956,0.13579445753229624,0.3350404425707345,0.16380447179638125,0.2727197244756804,k) DDTs,k,total,NA,NA
1976,Contaminants,Pink,PBDEs,0.0475079531352008,0.01807703080077033,0.1348227585518202,0.02655213086213367,0.08444516476236094,l) PBDEs,l,total,NA,NA
1976,Contaminants,Pink,PCBs,0.2348737185914944,0.09822420920541039,0.5707280230777515,0.14275348999235893,0.3860016791679691,j) PCBs,j,total,NA,NA
1976,Contaminants,Sockeye,Hg,2.2164793205034306,1.5624356081634967,2.953493142635563,1.8122455155641597,2.621062750117274,i) Hg,i,total,NA,NA
1976,Contaminants,Sockeye,DDTs,0.6957657519506859,0.46089022230413823,0.9632294484821126,0.5455620472367241,0.8579604755207948,k) DDTs,k,total,NA,NA
1976,Contaminants,Sockeye,PBDEs,0.03798226091854197,0.0199352713795076,0.07735442676777803,0.025602490398574623,0.055026016056180654,l) PBDEs,l,total,NA,NA
1976,Contaminants,Sockeye,PCBs,0.3556054890771322,0.20939331799320626,0.6766540483835489,0.25852654337943237,0.5228474573110549,j) PCBs,j,total,NA,NA
1976,Nutrients,Chinook,N,396.68296194927797,330.4785045592017,487.04466155350303,356.01149797035924,445.3853984769578,a) N,a,total,NA,NA
1976,Nutrients,Chinook,P,44.44758601312676,35.243737333796624,56.41354727943925,38.997077661201196,51.62717182443074,b) P,b,total,NA,NA
1976,Nutrients,Chinook,DHA,85.84293651744107,51.605655008881506,161.99698541364697,63.31207721742621,123.47678200306494,c) DHA,c,total,NA,NA
1976,Nutrients,Chinook,EPA,81.03614490800774,47.27837866691192,152.97128444163292,60.178185746964324,119.52735818698697,d) EPA,d,total,NA,NA
1976,Nutrients,Chum,N,2068.6033183484014,1781.368071292979,2417.460984517839,1889.651427958362,2257.969211191883,a) N,a,total,NA,NA
1976,Nutrients,Chum,P,230.9670073677951,187.48589503576136,283.2915061025309,202.6059559664144,259.089637464377,b) P,b,total,NA,NA
1976,Nutrients,Chum,DHA,431.59032765698714,209.07996221555481,934.7571109603134,294.8710697562701,680.138218058735,c) DHA,c,total,NA,NA
1976,Nutrients,Chum,EPA,352.8216198478365,166.20269967493766,803.5040551798795,244.06433998017332,534.0647708628742,d) EPA,d,total,NA,NA
1976,Nutrients,Coho,N,298.8629356693636,251.89611541772507,369.6381290236279,267.7175513021663,336.5339489675383,a) N,a,total,NA,NA
1976,Nutrients,Coho,P,33.75165348955404,26.414782999132722,42.748786120985045,29.30817843923499,38.454951098806056,b) P,b,total,NA,NA
1976,Nutrients,Coho,DHA,65.54114204144338,35.5994172966745,136.1554196191295,47.084287613784596,100.55997177332834,c) DHA,c,total,NA,NA
1976,Nutrients,Coho,EPA,55.44752898839611,27.710683950258606,115.18367562628524,36.42690869480562,82.9940655979903,d) EPA,d,total,NA,NA
1976,Nutrients,Pink,N,2568.052741032211,2191.6117976366913,3006.259420624454,2328.239254875362,2835.307870629416,a) N,a,total,NA,NA
1976,Nutrients,Pink,P,283.721767479934,235.26162393391496,344.60561297278537,253.14064710546168,322.45309871646657,b) P,b,total,NA,NA
1976,Nutrients,Pink,DHA,481.27413566252994,303.4162489266996,777.0905836837682,365.7375560900175,611.7688984160811,c) DHA,c,total,NA,NA
1976,Nutrients,Pink,EPA,265.3966084245287,168.07126256156016,438.89979504160186,200.57736185492303,352.1925908343884,d) EPA,d,total,NA,NA
