species,year,location,low75,median,high75,low50,high50,.group,type,panel,fill,data,y,x,PANEL,shape,colour,size,alpha,stroke,facet
Total,1986,All Regions,249284.84664210328,266724.0310298864,286026.7409939237,260116.06676541176,273116.6704650114,11,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,1987,All Regions,253351.5512257864,270473.47178806155,289109.72754210915,263971.5693815942,277022.0669029305,12,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,1988,All Regions,256026.0802016189,274004.4382190957,293316.19603271916,267617.50859181606,280656.99788149406,13,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,1989,All Regions,260080.92725769195,277536.64975185436,297593.46121624694,271643.13677555433,284249.7092282781,14,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,1990,All Regions,263601.0954549449,281459.4009557788,301781.2936026434,275287.107643267,288443.92773520463,15,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,1991,All Regions,266756.1226679108,285969.100101209,305805.8865027133,279371.53907937557,292667.5719093928,16,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,1992,All Regions,270697.47081695095,290382.1090584032,310160.55823174433,283780.0988817849,296831.15925513994,17,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,1993,All Regions,276103.04484807706,295043.54421300755,315497.70244863455,288368.59341207735,301641.8991462036,18,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,1994,All Regions,280752.28194653284,299850.3378011073,320988.2305935871,293323.84390072216,306269.20327730017,19,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,1995,All Regions,285040.46947209147,304622.1759957979,327247.6133070962,298173.48456271645,311483.84396915534,20,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
Total,1996,All Regions,289973.0859511271,309536.03951426974,333206.3993165957,303039.4954526931,316523.7689922674,21,Escapement,b) Total returns,grey20,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,b) Total returns
