species,year,low75,median,high75,low50,high50,panel,units,location,group,panel_new,panel_abc,fill
Total,1976,0.006994827356574886,0.008889450753659878,0.011103119129405186,0.007757327083227523,0.010048736240829494,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,1976,10592.86832264169,11658.494980841122,13196.609134619288,11015.429210925542,12453.345864242745,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,1977,0.007050828146587609,0.008910850262581685,0.011105867562450395,0.00781785834435458,0.010071821822717288,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,1977,10674.775422677607,11688.44295812654,13189.934555646061,11085.518449067195,12428.593448391215,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,1978,0.007102774131113009,0.008985702751549883,0.011135667032799163,0.00785410121940687,0.010150493259586595,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,1978,10787.105897209867,11780.044319187971,13235.518211842684,11183.73327427466,12490.523376389003,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,1979,0.0071675169906100684,0.009091587388230318,0.011228705907669173,0.007940796932481174,0.010274719715863393,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,1979,10922.348253025979,11895.11075709356,13285.431580767152,11320.536413705126,12560.083022751109,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,1980,0.007242019810721294,0.009212248791105094,0.011356617377688175,0.00805564625835996,0.010367022650089368,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,1980,11081.998188326977,12039.059749133816,13361.007629378022,11472.653525150565,12697.982093944449,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,1981,0.00735137096286684,0.009363844634067474,0.011519320844989245,0.00815014570829181,0.010510664608495719,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,1981,11237.42461644792,12202.815221754423,13536.262769169618,11619.116080045369,12878.269110482746,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,1982,0.007444777980317974,0.009516176775275723,0.01167983457324585,0.008276805908040596,0.0107038054004574,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,1982,11414.30818285883,12364.506656920319,13691.204933394058,11804.854678498792,13049.61576056314,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,1983,0.007556933666899145,0.009672880058012891,0.011857502575058751,0.008419498699797938,0.010915902564875474,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,1983,11599.267286721342,12540.133087876846,13910.474982925576,11993.671506480314,13260.676934249248,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,1984,0.0076799623141143285,0.009820326258254342,0.012049477102936456,0.00856734871187589,0.011039888753899963,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,1984,11790.80099683175,12733.491780879916,14084.66315411237,12171.717066360678,13481.537415821904,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,1985,0.007828437356848114,0.009961142432267254,0.012279472234251947,0.008696504669667322,0.01121100880254319,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
