species,year,low75,median,high75,low50,high50,panel,units,location,group,panel_new,panel_abc,fill
Total,1985,11987.073946837072,12938.101971692951,14305.419012921406,12356.816610130225,13709.719450805069,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,1986,0.007954589017437914,0.010097693999754204,0.012445719788765104,0.008810993595361359,0.011359176672798607,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,1986,12158.526971374282,13141.020051150177,14495.761106887247,12511.975797349587,13884.970226040738,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,1987,0.008062035496417099,0.010237726470967039,0.012580560192848988,0.008925001574663947,0.011470234233014097,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,1987,12305.383653014269,13336.735587699142,14683.982115208433,12676.837485052929,14059.185642776543,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,1988,0.00814774758081379,0.010375414678922366,0.012750094704713447,0.009046660658417902,0.01159382529254673,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,1988,12463.284516573105,13505.951368540691,14877.525897498215,12834.247980328026,14231.178919841674,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,1989,0.008280128956457014,0.010491257861610705,0.01290046875374029,0.009197803298942587,0.011766386801357548,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,1989,12622.088583025776,13655.354633417024,15119.72605371501,13002.83549560158,14417.250961659169,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,1990,0.008390219274074632,0.010625672405796448,0.013037074710814537,0.009307382634062614,0.011941822303471112,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,1990,12798.610688792172,13839.161790524351,15358.187346450964,13185.409705905187,14607.343445255392,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,1991,0.008484562309497887,0.010782921819864533,0.013206095157922398,0.009438406598864895,0.012052806105729364,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,1991,12997.79173264444,14008.981510300866,15595.16084444709,13360.127404430648,14814.907896613176,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,1992,0.008600348562817618,0.010943779881757269,0.013372740268191487,0.009563392633754865,0.012195958234505488,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,1992,13190.20391075597,14216.147937236272,15829.459251146996,13576.631692857945,15053.941189222842,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,1993,0.008727988337115026,0.011074553604762276,0.013552525024613609,0.009701587378430496,0.012356974454556203,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,1993,13386.9030204234,14447.521634125727,16041.70638169735,13768.152791517765,15287.133089099112,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,1994,0.00883973913167703,0.011241351263297703,0.013762327375141001,0.009798293999152378,0.012537344885849577,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,1994,13584.673809218251,14659.618904757068,16305.28354959274,14009.264489472736,15526.761330536327,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,1995,0.00894804939204512,0.011368449078330652,0.013953180877760131,0.00990533865452576,0.012681801094502381,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,1995,13785.363903185798,14894.02131571361,16553.26540256274,14238.076179962853,15760.935710793565,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,1996,0.009068011182478745,0.011509532621983898,0.014132915116404833,0.010039462691093076,0.012874488826827749,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,1996,13961.858158435118,15142.150301487802,16811.524939367457,14484.578097517982,16023.287943107007,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,1997,0.009157034707787937,0.011648988827326727,0.014294813820540217,0.010113494889096807,0.013028608853455123,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,1997,14140.701880454968,15344.873946461954,17022.48029960322,14706.28314888884,16233.225623054406,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,1998,0.00925055518091425,0.011721870106634367,0.014401321104695261,0.010203912476854524,0.01312829673858228,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,1998,14303.405561256623,15515.850290985698,17171.74943659885,14853.038653880207,16435.513358244796,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,1999,0.009302877770633388,0.011781724342982629,0.01450025572011566,0.01025191468299946,0.013201075199302775,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,1999,14413.959641321795,15647.751320466163,17287.678047367262,14963.834182218963,16594.7494955283,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,2000,0.009301749706214538,0.011783446073569192,0.014539988230923923,0.010278786523696385,0.013223017414332473,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,2000,14495.154393585875,15723.766850750319,17389.752321704917,14988.089586284645,16656.77609059139,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,2001,0.009297551302477128,0.011751681191486372,0.014510197202044934,0.010282012969774634,0.01323293917136248,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,2001,14527.778849694521,15741.29746304211,17360.806947188117,14978.558059754021,16645.28954121004,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,2002,0.009243837288548301,0.011701694319993064,0.014479070027000997,0.01021135839876249,0.013196681738260283,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,2002,14466.245825952506,15697.793217737959,17369.990229829382,14941.791158378708,16596.53608131169,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,2003,0.00914321932939781,0.011591185315232892,0.014384123239124136,0.010124251170906609,0.013068893875418285,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,2003,14393.979344084184,15644.50431957301,17266.921151889022,14863.852440437397,16535.364961543477,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,2004,0.009055229742782864,0.011459149098284514,0.01422025536562684,0.009993785774793807,0.01294931720916999,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,2004,14289.999965779236,15537.293777781098,17140.563398428123,14738.237434990055,16407.473649243268,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,2005,0.008974065794628205,0.011301197086692078,0.014095657990216223,0.009858893941177756,0.01277509337244747,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,2005,14185.320517516779,15443.201272664264,16967.478945917737,14615.968143290564,16273.620797090221,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,2006,0.008877293440326258,0.011146425458755115,0.013894805801769888,0.009731515636833112,0.012593620186142879,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,2006,14035.593321632507,15299.249563313797,16796.961766640507,14474.049407935167,16147.513563323118,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,2007,0.008754276140374277,0.010998859703208182,0.013665817089343484,0.009621936205903469,0.012401383082538941,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,2007,13893.202449719764,15165.000207009069,16671.44629587333,14346.951678376581,15978.24083616942,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,2008,0.008648089803321378,0.01083257877488918,0.013460105827803647,0.009488413117921417,0.012236549672823432,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,2008,13760.215872975094,15012.744450451828,16563.927262384335,14228.142373032812,15864.071480692908,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,2009,0.00852830184444959,0.01073431776486549,0.013351674045416066,0.009371879575725382,0.012079374849912802,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,2009,13642.073968059363,14897.215674519903,16472.563743979896,14122.062482560028,15766.265456763325,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,2010,0.008447601104688602,0.01063516954414232,0.01327954926129454,0.009314753579293535,0.011978958605796406,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,2010,13579.261338951896,14847.744834976947,16429.30401599079,14076.28227933294,15728.92249671265,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,2011,0.008405773571076846,0.010557771227080189,0.013210228270739791,0.009230882600987934,0.011946423382568006,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,2011,13522.564053961354,14813.396998558546,16423.9776939218,14062.046923956521,15698.065261679445,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,2012,0.00838940545698105,0.010546991255587296,0.013171727707735954,0.009241031907271689,0.01192743973601834,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,2012,13529.135118997176,14817.291231235093,16479.444675027968,14050.141687004556,15782.136942315537,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,2013,0.008358972598721762,0.010570735504469676,0.013200684128641362,0.009252768539288457,0.011947033890042827,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,2013,13564.70694796543,14890.297457376771,16604.99891110038,14054.5236707897,15889.891696571634,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,2014,0.008382235596812913,0.010610511678425628,0.013265574403436755,0.009263304647956607,0.012022218500122882,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,2014,13599.51063306948,14984.902214044709,16798.9206164433,14131.366994911328,16007.620102403145,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Total,2015,0.008404137552797427,0.010682145715816592,0.013363734166859584,0.009305585873507214,0.012034273472466857,f) Total contaminants,MT_yr,NA,NA,Total contaminants,f,NA
Total,2015,13650.82706493184,15134.539694735478,16988.938529602492,14192.476463603452,16206.47466914863,d) Total nutrients,MT_yr,NA,NA,Total nutrients,d,NA
Chinook,1976,8.033454019981147e-4,0.0010751044776537034,0.0014109739238150575,9.0910296033816e-4,0.0012631846249113714,g) Species contaminants,NA,NA,NA,Species contaminants,g,#CF406FFF
Chum,1976,0.0017326798943956621,0.0024129390886932726,0.003275255090288068,0.002011936414861415,0.0028350055037115137,g) Species contaminants,NA,NA,NA,Species contaminants,g,#972C80FF
Coho,1976,3.9327776906095997e-4,5.217554484428448e-4,6.964347108113259e-4,4.416907128869267e-4,6.251340283706745e-4,g) Species contaminants,NA,NA,NA,Species contaminants,g,#F76F5CFF
Pink,1976,0.0010561572643387324,0.0015103500704383142,0.0020942758427610997,0.0011999598581709868,0.0018519073073424554,g) Species contaminants,NA,NA,NA,Species contaminants,g,#251256FF
Sockeye,1976,0.0024763817459784506,0.0032577544543010237,0.004196590723099346,0.0028049074079468145,0.0038027212937817635,g) Species contaminants,NA,NA,NA,Species contaminants,g,#5F187FFF
Chinook,1976,509.34149037948623,626.6560238160992,776.4063249726762,553.5797692417384,707.2665229908904,e) Species nutrients,NA,NA,NA,Species nutrients,e,#CF406FFF
Chum,1976,2592.2438944032115,3129.823142761302,3981.662698618671,2780.176838217396,3535.3522420319014,e) Species nutrients,NA,NA,NA,Species nutrients,e,#972C80FF
Coho,1976,374.47540631766833,466.3267426491649,602.6952753169603,409.72895720400174,542.3552641676018,e) Species nutrients,NA,NA,NA,Species nutrients,e,#F76F5CFF
Pink,1976,2982.3028406406984,3539.633014217031,4153.579540993962,3205.3904812380633,3865.954189087164,e) Species nutrients,NA,NA,NA,Species nutrients,e,#251256FF
Sockeye,1976,3213.286635442311,3817.8802901017657,4592.7651464736255,3437.447456662606,4217.372900231593,e) Species nutrients,NA,NA,NA,Species nutrients,e,#5F187FFF
Chinook,1977,8.206249130207167e-4,0.001092612973873629,0.0014263845006331345,9.269716147309461e-4,0.001270235882689239,g) Species contaminants,NA,NA,NA,Species contaminants,g,#CF406FFF
Chum,1977,0.0017164695224171384,0.002373807709498641,0.003188052176836457,0.0019961701887500024,0.0027668667666870686,g) Species contaminants,NA,NA,NA,Species contaminants,g,#972C80FF
Coho,1977,4.1602658391518205e-4,5.457616709014878e-4,7.11473998828691e-4,4.6401247223356104e-4,6.439117203876067e-4,g) Species contaminants,NA,NA,NA,Species contaminants,g,#F76F5CFF
Pink,1977,0.0010781533698772567,0.001523021198809595,0.0021063446533581987,0.0012222681596570045,0.001863751429137318,g) Species contaminants,NA,NA,NA,Species contaminants,g,#251256FF
Sockeye,1977,0.0025257087687850194,0.003265180913487797,0.004206913538460524,0.0028432569000911953,0.0038107365533804104,g) Species contaminants,NA,NA,NA,Species contaminants,g,#5F187FFF
Chinook,1977,525.0137556961142,633.8002330660029,773.9218864978064,569.1044485746539,711.6761404254678,e) Species nutrients,NA,NA,NA,Species nutrients,e,#CF406FFF
Chum,1977,2574.8338448944623,3075.7204265103046,3856.896750672726,2753.569174763434,3461.4244698704106,e) Species nutrients,NA,NA,NA,Species nutrients,e,#972C80FF
Coho,1977,398.7008778893376,487.4457246502995,623.2039468777072,429.89270541266785,560.08605430949,e) Species nutrients,NA,NA,NA,Species nutrients,e,#F76F5CFF
Pink,1977,3051.343898861216,3579.415184995544,4156.299999292127,3256.4851153022196,3886.5282270949674,e) Species nutrients,NA,NA,NA,Species nutrients,e,#251256FF
Sockeye,1977,3274.615007842501,3840.7392438496495,4583.061583704889,3503.305589995061,4242.687786536079,e) Species nutrients,NA,NA,NA,Species nutrients,e,#5F187FFF
Chinook,1978,8.428431162323545e-4,0.0011061102610349686,0.0014343155033064085,9.491420758694027e-4,0.001279191155716231,g) Species contaminants,NA,NA,NA,Species contaminants,g,#CF406FFF
Chum,1978,0.0017057863540013364,0.0023458327822856945,0.0031219017357635476,0.0019928662835600845,0.002729930757592595,g) Species contaminants,NA,NA,NA,Species contaminants,g,#972C80FF
Coho,1978,4.4188621625994924e-4,5.757044048165564e-4,7.410402411283071e-4,4.907139867436337e-4,6.699802763013306e-4,g) Species contaminants,NA,NA,NA,Species contaminants,g,#F76F5CFF
Pink,1978,0.001097949426159481,0.001543170199229827,0.0021383563227034353,0.00124670375524074,0.0018854624650236939,g) Species contaminants,NA,NA,NA,Species contaminants,g,#251256FF
Sockeye,1978,0.002560214359018886,0.0032973002817224383,0.004230525140763958,0.002879572570748395,0.0038267513316422508,g) Species contaminants,NA,NA,NA,Species contaminants,g,#5F187FFF
Chinook,1978,543.3646726977156,641.3350668907999,779.4040121870707,579.108371830556,721.4934014151596,e) Species nutrients,NA,NA,NA,Species nutrients,e,#CF406FFF
Chum,1978,2551.404295923805,3031.4051825183988,3772.7660584097075,2742.05737799817,3420.1878544143633,e) Species nutrients,NA,NA,NA,Species nutrients,e,#972C80FF
Coho,1978,419.23015372440835,510.6930206557311,643.0176383906607,452.70811323664685,580.6084853642355,e) Species nutrients,NA,NA,NA,Species nutrients,e,#F76F5CFF
Pink,1978,3106.0034937573687,3626.1729741145964,4173.350937200375,3320.9262189825304,3917.674256480572,e) Species nutrients,NA,NA,NA,Species nutrients,e,#251256FF
Sockeye,1978,3333.818190202874,3867.727384384114,4592.995887856685,3531.2223882678686,4237.25159924565,e) Species nutrients,NA,NA,NA,Species nutrients,e,#5F187FFF
Chinook,1979,8.679039145393012e-4,0.001127845163230889,0.0014531208029994118,9.625908825265751e-4,0.0013007401417569975,g) Species contaminants,NA,NA,NA,Species contaminants,g,#CF406FFF
Chum,1979,0.0016842250399675684,0.0023322726809549294,0.003118026823523224,0.0019906576590219592,0.002726552276414113,g) Species contaminants,NA,NA,NA,Species contaminants,g,#972C80FF
Coho,1979,4.657332564455915e-4,6.069325289480749e-4,7.756946319521938e-4,5.188742895389691e-4,7.058342127410288e-4,g) Species contaminants,NA,NA,NA,Species contaminants,g,#F76F5CFF
Pink,1979,0.0011121423102297744,0.0015660062503496646,0.0021719970805058704,0.0012759081451820097,0.0019066027522556235,g) Species contaminants,NA,NA,NA,Species contaminants,g,#251256FF
Sockeye,1979,0.0025945977626430135,0.003327454622606152,0.004237974243320845,0.0029045812380070917,0.0038571294613270494,g) Species contaminants,NA,NA,NA,Species contaminants,g,#5F187FFF
Chinook,1979,554.7973892228149,656.8739212808573,785.9444511412894,591.8388664093563,733.9967157893657,e) Species nutrients,NA,NA,NA,Species nutrients,e,#CF406FFF
Chum,1979,2555.805346768862,3011.9994587727033,3764.8269001295084,2728.2481581810916,3406.695750913113,e) Species nutrients,NA,NA,NA,Species nutrients,e,#972C80FF
Coho,1979,444.90414741104973,541.1088430681604,673.2715696449385,478.439802593693,608.8045076780705,e) Species nutrients,NA,NA,NA,Species nutrients,e,#F76F5CFF
Pink,1979,3174.284948736049,3663.8340187668236,4201.662674878027,3376.4328466081597,3963.29023119274,e) Species nutrients,NA,NA,NA,Species nutrients,e,#251256FF
Sockeye,1979,3382.574633157633,3905.326298872283,4591.437531271874,3584.9886431512296,4268.0420680589405,e) Species nutrients,NA,NA,NA,Species nutrients,e,#5F187FFF
Chinook,1980,8.848442750751365e-4,0.001148675463943995,0.0014719929435136692,9.852048014597976e-4,0.0013236222086495126,g) Species contaminants,NA,NA,NA,Species contaminants,g,#CF406FFF
Chum,1980,0.0016904388795774751,0.0023351825819506325,0.003119777884323528,0.001994921184052222,0.002743860904407286,g) Species contaminants,NA,NA,NA,Species contaminants,g,#972C80FF
Coho,1980,4.932744360589779e-4,6.409452894285755e-4,8.158668794688444e-4,5.495800593842795e-4,7.48495988403336e-4,g) Species contaminants,NA,NA,NA,Species contaminants,g,#F76F5CFF
Pink,1980,0.0011267553892581172,0.0015903020079427628,0.002201095173311655,0.0012996648697460181,0.0019337764089759942,g) Species contaminants,NA,NA,NA,Species contaminants,g,#251256FF
Sockeye,1980,0.002633484168959069,0.0033482935196920637,0.004264404149604105,0.0029282790291382454,0.003879761735264806,g) Species contaminants,NA,NA,NA,Species contaminants,g,#5F187FFF
Chinook,1980,564.3790638748443,669.0489659788693,791.0770379662238,605.29228087936,748.2432807673479,e) Species nutrients,NA,NA,NA,Species nutrients,e,#CF406FFF
Chum,1980,2566.5062764507547,3024.7649755486173,3762.3631674884127,2743.666478658832,3413.652256194394,e) Species nutrients,NA,NA,NA,Species nutrients,e,#972C80FF
Coho,1980,471.9174904637218,569.5554435782572,706.393857081244,507.5743290670979,642.842781682727,e) Species nutrients,NA,NA,NA,Species nutrients,e,#F76F5CFF
Pink,1980,3239.6619771227133,3728.440558852553,4246.678665904847,3432.9202843934836,4019.3025357658344,e) Species nutrients,NA,NA,NA,Species nutrients,e,#251256FF
Sockeye,1980,3419.957197335226,3932.74138520169,4610.46404415978,3625.7015267930765,4290.332706624413,e) Species nutrients,NA,NA,NA,Species nutrients,e,#5F187FFF
Chinook,1981,9.056068613645155e-4,0.0011702336169965943,0.0014917170637604269,0.0010061991869378395,0.0013482561218399543,g) Species contaminants,NA,NA,NA,Species contaminants,g,#CF406FFF
Chum,1981,0.0017228733538382018,0.002366363848030332,0.0031212747759992465,0.0020094480349338163,0.0027901516626281705,g) Species contaminants,NA,NA,NA,Species contaminants,g,#972C80FF
Coho,1981,5.232447247882618e-4,6.801553669690105e-4,8.641773334480785e-4,5.855576542731658e-4,7.88204784859972e-4,g) Species contaminants,NA,NA,NA,Species contaminants,g,#F76F5CFF
Pink,1981,0.0011461843574557384,0.0016161311244380886,0.0022455714896960554,0.0013195870766219532,0.0019558654295707724,g) Species contaminants,NA,NA,NA,Species contaminants,g,#251256FF
Sockeye,1981,0.002640317976153946,0.003371322409059874,0.004272434930946646,0.0029585284073295358,0.0038884560047687295,g) Species contaminants,NA,NA,NA,Species contaminants,g,#5F187FFF
Chinook,1981,574.5238096268306,680.1306960062777,806.8159686593028,619.9123619131603,759.9958061266631,e) Species nutrients,NA,NA,NA,Species nutrients,e,#CF406FFF
Chum,1981,2606.9201220144614,3065.8838860180576,3783.614885291434,2777.1491432512967,3427.1223603199282,e) Species nutrients,NA,NA,NA,Species nutrients,e,#972C80FF
Coho,1981,500.40434068405676,600.4911722798381,746.4895997442613,539.9391295948489,678.2039239067537,e) Species nutrients,NA,NA,NA,Species nutrients,e,#F76F5CFF
Pink,1981,3316.6043522706364,3785.4789974468786,4306.833785694455,3506.850470698684,4085.355114590123,e) Species nutrients,NA,NA,NA,Species nutrients,e,#251256FF
Sockeye,1981,3437.7728767792964,3956.6205490098428,4590.412141793603,3653.2765784039693,4294.806832716653,e) Species nutrients,NA,NA,NA,Species nutrients,e,#5F187FFF
Chinook,1982,9.244677954224714e-4,0.001191030632714453,0.0015139232773579317,0.0010260504989193266,0.0013723090354652878,g) Species contaminants,NA,NA,NA,Species contaminants,g,#CF406FFF
Chum,1982,0.0017485587543491375,0.002405036709092102,0.0031630829618250495,0.0020367803040659133,0.0028239616195469813,g) Species contaminants,NA,NA,NA,Species contaminants,g,#972C80FF
Coho,1982,5.544337767227806e-4,7.174340807354037e-4,9.146786014279348e-4,6.189125248599942e-4,8.347858122808292e-4,g) Species contaminants,NA,NA,NA,Species contaminants,g,#F76F5CFF
Pink,1982,0.0011719250787380457,0.001644961884602614,0.0022978005646016033,0.0013407922794961185,0.0019927039350215716,g) Species contaminants,NA,NA,NA,Species contaminants,g,#251256FF
Sockeye,1982,0.002656424498627163,0.003391325982982988,0.004301587518799302,0.0029579591424984293,0.0038999207349481534,g) Species contaminants,NA,NA,NA,Species contaminants,g,#5F187FFF
Chinook,1982,587.6974895281583,695.1806813070621,825.2836073808011,629.5074447199373,764.7538890648092,e) Species nutrients,NA,NA,NA,Species nutrients,e,#CF406FFF
Chum,1982,2645.56586834144,3107.7738365820487,3843.719901131372,2816.54450198263,3470.1637175226915,e) Species nutrients,NA,NA,NA,Species nutrients,e,#972C80FF
Coho,1982,530.4221466597982,635.1576595734987,784.2491860734349,571.1017934969564,721.7177695168515,e) Species nutrients,NA,NA,NA,Species nutrients,e,#F76F5CFF
Pink,1982,3384.2421287716425,3853.3745218812714,4407.136827580954,3572.9460239227024,4152.364692025293,e) Species nutrients,NA,NA,NA,Species nutrients,e,#251256FF
Sockeye,1982,3452.0430983964275,3973.4023039107765,4588.580482007032,3666.340295253838,4317.847380976839,e) Species nutrients,NA,NA,NA,Species nutrients,e,#5F187FFF
Chinook,1983,9.414225604348429e-4,0.0012157405144378906,0.001533588659475661,0.0010448807274201731,0.001399948433837131,g) Species contaminants,NA,NA,NA,Species contaminants,g,#CF406FFF
Chum,1983,0.001784236540853824,0.002448193272927003,0.003217992382777168,0.0020664960970715332,0.002886557713508849,g) Species contaminants,NA,NA,NA,Species contaminants,g,#972C80FF
Coho,1983,5.859795680530004e-4,7.543003783527405e-4,9.603493198703148e-4,6.511949920227388e-4,8.758262513715063e-4,g) Species contaminants,NA,NA,NA,Species contaminants,g,#F76F5CFF
Pink,1983,0.0011964294533713762,0.0016723897338741802,0.0023466565969740426,0.0013632432557613402,0.0020254232083028803,g) Species contaminants,NA,NA,NA,Species contaminants,g,#251256FF
Sockeye,1983,0.002660517026979774,0.0033949528148256233,0.004303602659397865,0.0029674125878660054,0.003894436902735251,g) Species contaminants,NA,NA,NA,Species contaminants,g,#5F187FFF
Chinook,1983,598.723276113656,706.9324767651983,842.5743108107591,642.6272287979082,778.4581186170084,e) Species nutrients,NA,NA,NA,Species nutrients,e,#CF406FFF
Chum,1983,2707.5311356069633,3158.4315413949116,3914.891175311698,2873.2004470040047,3530.3503162628285,e) Species nutrients,NA,NA,NA,Species nutrients,e,#972C80FF
Coho,1983,559.9732926825219,668.4451429031253,829.0894164811981,602.3098959247768,758.7778507257303,e) Species nutrients,NA,NA,NA,Species nutrients,e,#F76F5CFF
Pink,1983,3459.136642984586,3938.5284043262154,4497.5867214592035,3655.3444220807723,4234.747380597878,e) Species nutrients,NA,NA,NA,Species nutrients,e,#251256FF
Sockeye,1983,3473.4846339823994,3985.5818900321565,4592.543302493054,3676.1715850353385,4325.088344141877,e) Species nutrients,NA,NA,NA,Species nutrients,e,#5F187FFF
Chinook,1984,9.562197550939978e-4,0.0012415025548737353,0.0015615216063464298,0.001072574308515223,0.0014249401179372864,g) Species contaminants,NA,NA,NA,Species contaminants,g,#CF406FFF
Chum,1984,0.0018277387932817625,0.0025039481743028124,0.0032661650746592516,0.002114645929223568,0.0029443257990001584,g) Species contaminants,NA,NA,NA,Species contaminants,g,#972C80FF
Coho,1984,6.170001784348702e-4,7.881953423589152e-4,0.00100475854839167,6.807023031312568e-4,9.128570240084105e-4,g) Species contaminants,NA,NA,NA,Species contaminants,g,#F76F5CFF
